Year,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Break_Out,Break_Out_Category,GeoLocation,ClassID,TopicID,QuestionID,ResponseID,LocationID,BreakOutID,BreakOutCategoryID,Data_Value_Category,Data_Value_Category_ID
2013,GA,Georgia,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,,99999,NA,Question not asked,,,,,,"(32.839681093, -83.627580346)",SYNOP,LEAD,LEAD1_3,,13,,,Not Asked,CAT99999
2012,AL,Alabama,ASTDD Synopses,Synopses,Programs,System for children with cleft lips/cleft palates,,,yes/no,Yes,10001,,,,,,System for referring children with cleft lips/cleft palates to rehabilitative teams,Type of System,"(32.840571122, -86.631860762)",SYNOP,PROG,PROG4_4,,01,BO15,BOC4,Yes,CAT10001
2014,TX,Texas,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,< 1,10008,,,,,,,,"(31.827240407, -99.426770206)",SYNOP,LEAD,LEAD1_2,,48,,,<1,CAT2
2015,LA,Louisiana,ASTDD Synopses,Synopses,Programs,Oral health (open-mouth) surveys using Basic Screening Survey protocol,,,yes/no,Yes,10001,,,,,,,,"(31.312660644, -92.445680071)",SYNOP,PROG,PROG4_2,,22,,,Yes,CAT10001
2017,CO,Colorado,ASTDD Synopses,Synopses,Policies,Requirement or mandate for a dental health screening or certificate at school entry,,,yes/no,No,10002,,,,,,,,"(38.843840757, -106.133610921)",SYNOP,POL,POL3_1,,08,,,No,CAT10002
2018,MN,Minnesota,ASTDD Synopses,Synopses,Programs,Oral health (open-mouth) surveys using Basic Screening Survey protocol,,,yes/no,Yes,10001,,,,,,,,"(46.355648736, -94.794200503)",SYNOP,PROG,PROG4_2,,27,,,Yes,CAT10001
2018,OK,Oklahoma,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,No,10002,,,,,,Public health degree,Requirement,"(35.472031356, -97.521070214)",SYNOP,LEAD,LEAD1_5,,40,BO4,BOC1,No,CAT10002
2017,ID,Idaho,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,No,10002,,,,,,For older adults,Type of Program,"(43.682630005, -114.363730042)",SYNOP,PROG,PROG4_3,,16,BO20,BOC3,No,CAT10002
2018,MT,Montana,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,No,10002,,,,,,Public health degree,Requirement,"(47.066528972, -109.424420645)",SYNOP,LEAD,LEAD1_5,,30,BO4,BOC1,No,CAT10002
2017,NH,New Hampshire,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,1,1,,,,,,With a dental program directed by a dental professional,Type of health agency,"(43.655950113, -71.50036092)",SYNOP,LEAD,LEAD1_7,,33,BO8,BOC2,1-4,CAT5
2021,LA,Louisiana,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,No,10002,,,,,,Public health degree,Requirement,"(31.31266064400046, -92.44568007099969)",SYNOP,LEAD,LEAD1_5,,22,BO4,BOC1,No,CAT10002
2016,WI,Wisconsin,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,2,2,,,,,,With a dental program,Type of health agency,"(44.393191174, -89.816370742)",SYNOP,LEAD,LEAD1_7,,55,BO7,BOC2,1-4,CAT5
2016,WY,Wyoming,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(43.235541343, -108.109830353)",SYNOP,LEAD,LEAD1_1,,56,,,Yes,CAT10001
2020,MO,Missouri,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,8.5,8.5,,,,,,Total,Type of Supervision,"(38.635790776000476, -92.56630005299968)",SYNOP,STAFF,STAFF2_1,,29,BO16,BOC5,>=5 to <10,CAT8
2019,MI,Michigan,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(44.6613195430005, -84.71439026999968)",SYNOP,LEAD,LEAD1_6,,26,,,Yes,CAT10001
2018,IA,Iowa,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,1,1,,,,,,With a dental program directed by a dental professional with graduate degree in public health,Type of health agency,"(42.469400913, -93.816490556)",SYNOP,LEAD,LEAD1_7,,19,BO9,BOC2,1-4,CAT5
2016,WV,West Virginia,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,1,1,,,,,,With a dental program,Type of health agency,"(38.665510202, -80.712640135)",SYNOP,LEAD,LEAD1_7,,54,BO7,BOC2,1-4,CAT5
2013,ME,Maine,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,,99999,NA,Question not asked,,,,,,"(45.254228894001, -68.985031336)",SYNOP,LEAD,LEAD1_3,,23,,,Not Asked,CAT99999
2016,LA,Louisiana,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,No,10002,,,,,,Early Childhood Caries (ECC) prevention programs,Type of Program,"(31.312660644, -92.445680071)",SYNOP,PROG,PROG4_1,,22,BO12,BOC3,No,CAT10002
2020,GA,Georgia,ASTDD Synopses,Synopses,Policies,Requirement or mandate for a dental health screening or certificate at school entry,,,yes/no,Yes,10001,,,,,,,,"(32.83968109300048, -83.62758034599966)",SYNOP,POL,POL3_1,,13,,,Yes,CAT10001
2011,NM,New Mexico,ASTDD Synopses,Synopses,Programs,System for children with cleft lips/cleft palates,,,yes/no,,99999,NA,Question not asked,,,,System for referring children with cleft lips/cleft palates to rehabilitative teams,Type of System,"(34.520880952, -106.240580985)",SYNOP,PROG,PROG4_4,,35,BO15,BOC4,Not Asked,CAT99999
2020,MO,Missouri,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,School-based or school-linked sealant programs,Type of Program,"(38.635790776000476, -92.56630005299968)",SYNOP,PROG,PROG4_1,,29,BO10,BOC3,Yes,CAT10001
2015,TN,Tennessee,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,< 1,10008,,,,,,,,"(35.68094058, -85.774490914)",SYNOP,LEAD,LEAD1_2,,47,,,<1,CAT2
2022,ID,Idaho,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,Fluoride varnish programs,Type of Program,"(43.682630005000476, -114.3637300419997)",SYNOP,PROG,PROG4_1,,16,BO13,BOC3,Yes,CAT10001
2017,NE,Nebraska,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,Dental screening programs,Type of Program,"(41.641040988001, -99.365720623)",SYNOP,PROG,PROG4_1,,31,BO11,BOC3,Yes,CAT10001
2018,SD,South Dakota,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,No,10002,,,,,,Public health degree,Requirement,"(44.353130053, -100.373530637)",SYNOP,LEAD,LEAD1_5,,46,BO4,BOC1,No,CAT10002
2019,GA,Georgia,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,No,10002,,,,,,Public health experience,Requirement,"(32.83968109300048, -83.62758034599966)",SYNOP,LEAD,LEAD1_5,,13,BO3,BOC1,No,CAT10002
2020,RI,Rhode Island,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,School-based or school-linked sealant programs,Type of Program,"(41.70828019300046, -71.52247031399963)",SYNOP,PROG,PROG4_1,,44,BO10,BOC3,Yes,CAT10001
2016,AK,Alaska,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,Early Childhood Caries (ECC) prevention programs,Type of Program,"(64.845079957001, -147.722059036)",SYNOP,PROG,PROG4_1,,02,BO12,BOC3,Yes,CAT10001
2011,TX,Texas,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,11,11,,,,,,Directly supervised by state health agency staff,Type of Supervision,"(31.827240407, -99.426770206)",SYNOP,STAFF,STAFF2_1,,48,BO17,BOC5,>=10,CAT9
2019,SD,South Dakota,ASTDD Synopses,Synopses,Programs,System for children with cleft lips/cleft palates,,,yes/no,No,10002,,,,,,"System for recording children with cleft lips, palates, and other craniofacial anomalies",Type of System,"(44.353130053000484, -100.3735306369997)",SYNOP,PROG,PROG4_4,,46,BO14,BOC4,No,CAT10002
2019,IN,Indiana,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,Yes,10001,,,,,,Full-time,Requirement,"(39.766910452000445, -86.14996019399968)",SYNOP,LEAD,LEAD1_5,,18,BO5,BOC1,Yes,CAT10001
2012,NJ,New Jersey,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,No,10002,,,,,,For oral health program,Requirement,"(40.130570048, -74.273691288)",SYNOP,LEAD,LEAD1_4,,34,BO1,BOC1,No,CAT10002
2013,MD,Maryland,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,2,2,,,,,,Not directly supervised by state health agency staff,Type of Supervision,"(39.290580964, -76.609260111)",SYNOP,STAFF,STAFF2_1,,24,BO18,BOC5,>1 to <5,CAT6
2016,AR,Arkansas,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(34.748650124, -92.274490743)",SYNOP,LEAD,LEAD1_6,,05,,,Yes,CAT10001
2012,MT,Montana,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,,99999,NA,Question not asked,,,,For older adults,Type of Program,"(47.066528972, -109.424420645)",SYNOP,PROG,PROG4_3,,30,BO20,BOC3,Not Asked,CAT99999
2017,UT,Utah,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,No,10002,,,,,,Public health degree,Requirement,"(39.360700171, -111.587130635)",SYNOP,LEAD,LEAD1_5,,49,BO4,BOC1,No,CAT10002
2021,MI,Michigan,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(44.6613195430005, -84.71439026999968)",SYNOP,LEAD,LEAD1_6,,26,,,Yes,CAT10001
2012,AZ,Arizona,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,Yes,10001,,,,,,For oral health program,Requirement,"(34.86597028, -111.763811277)",SYNOP,LEAD,LEAD1_4,,04,BO1,BOC1,Yes,CAT10001
2019,AZ,Arizona,ASTDD Synopses,Synopses,Programs,System for children with cleft lips/cleft palates,,,yes/no,Yes,10001,,,,,,System for referring children with cleft lips/cleft palates to rehabilitative teams,Type of System,"(34.865970280000454, -111.76381127699972)",SYNOP,PROG,PROG4_4,,04,BO15,BOC4,Yes,CAT10001
2021,OR,Oregon,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,No,10002,,,,,,For pregnant women,Type of Program,"(44.56744942400047, -120.15503132599969)",SYNOP,PROG,PROG4_3,,41,BO19,BOC3,No,CAT10002
2021,IN,Indiana,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,Civil Service,10005,,,,,,,,"(39.766910452000445, -86.14996019399968)",SYNOP,LEAD,LEAD1_3,,18,,,Civil Service,CAT10005
2012,WA,Washington,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(47.522278629, -120.47001079)",SYNOP,LEAD,LEAD1_1,,53,,,Yes,CAT10001
2018,SC,South Carolina,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,No,10002,,,,,,Dental screening programs,Type of Program,"(33.998821303, -81.045371207)",SYNOP,PROG,PROG4_1,,45,BO11,BOC3,No,CAT10002
2020,AL,Alabama,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,4,4,,,,,,Total,Type of Supervision,"(32.84057112200048, -86.63186076199969)",SYNOP,STAFF,STAFF2_1,,01,BO16,BOC5,>1 to <5,CAT6
2020,SD,South Dakota,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,2,2,,,,,,,,"(44.353130053000484, -100.3735306369997)",SYNOP,LEAD,LEAD1_2,,46,,,1-4,CAT5
2011,MO,Missouri,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(38.635790776, -92.566300053)",SYNOP,LEAD,LEAD1_1,,29,,,Yes,CAT10001
2020,DC,District of Columbia,ASTDD Synopses,Synopses,Policies,Requirement or mandate for a dental health screening or certificate at school entry,,,yes/no,Yes,10001,,,,,,,,"(38.89037138500049, -77.03196112699965)",SYNOP,POL,POL3_1,,11,,,Yes,CAT10001
2012,SD,South Dakota,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,1,1,,,,,,Directly supervised by state health agency staff,Type of Supervision,"(44.353130053, -100.373530637)",SYNOP,STAFF,STAFF2_1,,46,BO17,BOC5,1,CAT4
2017,MS,Mississippi,ASTDD Synopses,Synopses,Programs,System for children with cleft lips/cleft palates,,,yes/no,Yes,10001,,,,,,System for referring children with cleft lips/cleft palates to rehabilitative teams,Type of System,"(32.745510099, -89.538030825)",SYNOP,PROG,PROG4_4,,28,BO15,BOC4,Yes,CAT10001
2013,IN,Indiana,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(39.766910452, -86.149960194)",SYNOP,LEAD,LEAD1_1,,18,,,Yes,CAT10001
2018,VT,Vermont,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,No,10002,,,,,,Dental screening programs,Type of Program,"(43.625381239, -72.517640791)",SYNOP,PROG,PROG4_1,,50,BO11,BOC3,No,CAT10002
2019,KY,Kentucky,ASTDD Synopses,Synopses,Policies,Requirement or mandate for a dental health screening or certificate at school entry,,,yes/no,Yes,10001,,,,,,,,"(37.645970271000465, -84.77497104799966)",SYNOP,POL,POL3_1,,21,,,Yes,CAT10001
2012,RI,Rhode Island,ASTDD Synopses,Synopses,Programs,Oral health (open-mouth) surveys using Basic Screening Survey protocol,,,yes/no,Yes,10001,,,,,,,,"(41.708280193, -71.522470314)",SYNOP,PROG,PROG4_2,,44,,,Yes,CAT10001
2015,FL,Florida,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(28.932040377, -81.928960539)",SYNOP,LEAD,LEAD1_6,,12,,,Yes,CAT10001
2021,CA,California,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,Yes,10001,,,,,,For oral health program,Requirement,"(37.63864012300047, -120.99999953799971)",SYNOP,LEAD,LEAD1_4,,06,BO1,BOC1,Yes,CAT10001
2013,GA,Georgia,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(32.839681093, -83.627580346)",SYNOP,LEAD,LEAD1_1,,13,,,Yes,CAT10001
2019,TX,Texas,ASTDD Synopses,Synopses,Programs,System for children with cleft lips/cleft palates,,,yes/no,Yes,10001,,,,,,System for referring children with cleft lips/cleft palates to rehabilitative teams,Type of System,"(31.827240407000488, -99.42677020599967)",SYNOP,PROG,PROG4_4,,48,BO15,BOC4,Yes,CAT10001
2017,MS,Mississippi,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(32.745510099, -89.538030825)",SYNOP,LEAD,LEAD1_6,,28,,,Yes,CAT10001
2020,MO,Missouri,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,No,10002,,,,,,Public health degree,Requirement,"(38.635790776000476, -92.56630005299968)",SYNOP,LEAD,LEAD1_5,,29,BO4,BOC1,No,CAT10002
2012,KS,Kansas,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,8,8,,,,,,Total,Type of Supervision,"(38.3477403, -98.200781227)",SYNOP,STAFF,STAFF2_1,,20,BO16,BOC5,>=5 to <10,CAT8
2020,SD,South Dakota,ASTDD Synopses,Synopses,Policies,Requirement or mandate for a dental health screening or certificate at school entry,,,yes/no,No,10002,,,,,,,,"(44.353130053000484, -100.3735306369997)",SYNOP,POL,POL3_1,,46,,,No,CAT10002
2016,MI,Michigan,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,Yes,10001,,,,,,Public health experience,Requirement,"(44.661319543001, -84.71439027)",SYNOP,LEAD,LEAD1_5,,26,BO3,BOC1,Yes,CAT10001
2018,NE,Nebraska,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,0,0,,,,,,With a dental program directed by a dental professional with graduate degree in public health,Type of health agency,"(41.641040988001, -99.365720623)",SYNOP,LEAD,LEAD1_7,,31,BO9,BOC2,0,CAT1
2013,KS,Kansas,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,,99999,NA,Question not asked,,,,For older adults,Type of Program,"(38.3477403, -98.200781227)",SYNOP,PROG,PROG4_3,,20,BO20,BOC3,Not Asked,CAT99999
2018,ND,North Dakota,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,0,0,,,,,,With a dental program directed by a dental professional with graduate degree in public health,Type of health agency,"(47.475319779, -100.118421049)",SYNOP,LEAD,LEAD1_7,,38,BO9,BOC2,0,CAT1
2022,MI,Michigan,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,11,11,,,,,,Total,Type of Supervision,"(44.6613195430005, -84.71439026999968)",SYNOP,STAFF,STAFF2_1,,26,BO16,BOC5,>=10,CAT9
2014,RI,Rhode Island,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,Dental screening programs,Type of Program,"(41.708280193, -71.522470314)",SYNOP,PROG,PROG4_1,,44,BO11,BOC3,Yes,CAT10001
2011,SD,South Dakota,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,0,0,,,,,,With a dental program directed by a dental professional with graduate degree in public health,Type of health agency,"(44.353130053, -100.373530637)",SYNOP,LEAD,LEAD1_7,,46,BO9,BOC2,>=10,CAT9
2019,AK,Alaska,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,No,10002,,,,,,For state dental director,Requirement,"(64.84507995700051, -147.72205903599973)",SYNOP,LEAD,LEAD1_4,,02,BO2,BOC1,No,CAT10002
2015,IN,Indiana,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,10,10,,,,,,Total,Type of Supervision,"(39.766910452, -86.149960194)",SYNOP,STAFF,STAFF2_1,,18,BO16,BOC5,>=10,CAT9
2014,GA,Georgia,ASTDD Synopses,Synopses,Policies,Requirement or mandate for a dental health screening or certificate at school entry,,,yes/no,,99999,NA,Question not asked,,,,,,"(32.839681093, -83.627580346)",SYNOP,POL,POL3_1,,13,,,Not Asked,CAT99999
2011,SC,South Carolina,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,Fluoride varnish programs,Type of Program,"(33.998821303, -81.045371207)",SYNOP,PROG,PROG4_1,,45,BO13,BOC3,Yes,CAT10001
2011,NJ,New Jersey,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,6,6,,,,,,Total,Type of Supervision,"(40.130570048, -74.273691288)",SYNOP,STAFF,STAFF2_1,,34,BO16,BOC5,>=5 to <10,CAT8
2019,CO,Colorado,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,0,0,,,,,,With a dental program directed by a dental professional with graduate degree in public health,Type of health agency,"(38.843840757000464, -106.13361092099967)",SYNOP,LEAD,LEAD1_7,,08,BO9,BOC2,0,CAT1
2022,AL,Alabama,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,No,10002,,,,,,Public health experience,Requirement,"(32.84057112200048, -86.63186076199969)",SYNOP,LEAD,LEAD1_5,,01,BO3,BOC1,No,CAT10002
2017,ME,Maine,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,,88888,NR,Not Reported,,,,With a dental program,Type of health agency,"(45.254228894001, -68.985031336)",SYNOP,LEAD,LEAD1_7,,23,BO7,BOC2,Not Reported,CAT88888
2021,NJ,New Jersey,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,No,10002,,,,,,For state dental director,Requirement,"(40.13057004800049, -74.27369128799967)",SYNOP,LEAD,LEAD1_4,,34,BO2,BOC1,No,CAT10002
2011,WA,Washington,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,6,6,,,,,,Total,Type of health agency,"(47.522278629, -120.47001079)",SYNOP,LEAD,LEAD1_7,,53,BO6,BOC2,5-9,CAT7
2017,NH,New Hampshire,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,Dental screening programs,Type of Program,"(43.655950113, -71.50036092)",SYNOP,PROG,PROG4_1,,33,BO11,BOC3,Yes,CAT10001
2015,UT,Utah,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,Yes,10001,,,,,,For state dental director,Requirement,"(39.360700171, -111.587130635)",SYNOP,LEAD,LEAD1_4,,49,BO2,BOC1,Yes,CAT10001
2016,ME,Maine,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,1.6,1.6,,,,,,Not directly supervised by state health agency staff,Type of Supervision,"(45.254228894001, -68.985031336)",SYNOP,STAFF,STAFF2_1,,23,BO18,BOC5,>1 to <5,CAT6
2015,NV,Nevada,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,Yes,10001,,,,,,For pregnant women,Type of Program,"(39.49324039, -117.071840564)",SYNOP,PROG,PROG4_3,,32,BO19,BOC3,Yes,CAT10001
2013,MT,Montana,ASTDD Synopses,Synopses,Policies,Requirement or mandate for a dental health screening or certificate at school entry,,,yes/no,,99999,NA,Question not asked,,,,,,"(47.066528972, -109.424420645)",SYNOP,POL,POL3_1,,30,,,Not Asked,CAT99999
2015,MS,Mississippi,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,1,1,,,,,,With a dental program,Type of health agency,"(32.745510099, -89.538030825)",SYNOP,LEAD,LEAD1_7,,28,BO7,BOC2,1-4,CAT5
2014,KS,Kansas,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,,99999,NA,Question not asked,,,,,,"(38.3477403, -98.200781227)",SYNOP,LEAD,LEAD1_3,,20,,,Not Asked,CAT99999
2014,UT,Utah,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,No,10002,,,,,,For older adults,Type of Program,"(39.360700171, -111.587130635)",SYNOP,PROG,PROG4_3,,49,BO20,BOC3,No,CAT10002
2017,FL,Florida,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,Dental screening programs,Type of Program,"(28.932040377, -81.928960539)",SYNOP,PROG,PROG4_1,,12,BO11,BOC3,Yes,CAT10001
2021,KS,Kansas,ASTDD Synopses,Synopses,Policies,Requirement or mandate for a dental health screening or certificate at school entry,,,yes/no,Yes,10001,,,,,,,,"(38.34774030000045, -98.20078122699965)",SYNOP,POL,POL3_1,,20,,,Yes,CAT10001
2013,MD,Maryland,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,Yes,10001,,,,,,For oral health program,Requirement,"(39.290580964, -76.609260111)",SYNOP,LEAD,LEAD1_4,,24,BO1,BOC1,Yes,CAT10001
2018,NV,Nevada,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(39.49324039, -117.071840564)",SYNOP,LEAD,LEAD1_6,,32,,,Yes,CAT10001
2019,RI,Rhode Island,ASTDD Synopses,Synopses,Programs,System for children with cleft lips/cleft palates,,,yes/no,Yes,10001,,,,,,System for referring children with cleft lips/cleft palates to rehabilitative teams,Type of System,"(41.70828019300046, -71.52247031399963)",SYNOP,PROG,PROG4_4,,44,BO15,BOC4,Yes,CAT10001
2015,AR,Arkansas,ASTDD Synopses,Synopses,Programs,System for children with cleft lips/cleft palates,,,yes/no,Yes,10001,,,,,,"System for recording children with cleft lips, palates, and other craniofacial anomalies",Type of System,"(34.748650124, -92.274490743)",SYNOP,PROG,PROG4_4,,05,BO14,BOC4,Yes,CAT10001
2015,GA,Georgia,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,Civil Service,10005,,,,,,,,"(32.839681093, -83.627580346)",SYNOP,LEAD,LEAD1_3,,13,,,Civil Service,CAT10005
2020,WY,Wyoming,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,,88888,NR,Not Reported,,,,For oral health program,Requirement,"(43.23554134300048, -108.10983035299967)",SYNOP,LEAD,LEAD1_4,,56,BO1,BOC1,Not Reported,CAT88888
2017,WV,West Virginia,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,1,1,,,,,,With a dental program,Type of health agency,"(38.665510202, -80.712640135)",SYNOP,LEAD,LEAD1_7,,54,BO7,BOC2,1-4,CAT5
2022,MS,Mississippi,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,12,12,,,,,,Total,Type of Supervision,"(32.745510099000455, -89.53803082499968)",SYNOP,STAFF,STAFF2_1,,28,BO16,BOC5,>=10,CAT9
2016,NM,New Mexico,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,9.5,9.5,,,,,,Total,Type of Supervision,"(34.520880952, -106.240580985)",SYNOP,STAFF,STAFF2_1,,35,BO16,BOC5,>=5 to <10,CAT8
2014,OK,Oklahoma,ASTDD Synopses,Synopses,Staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,FTE,number,10,10,,,,,,Not directly supervised by state health agency staff,Type of Supervision,"(35.472031356, -97.521070214)",SYNOP,STAFF,STAFF2_1,,40,BO18,BOC5,>=10,CAT9
2016,UT,Utah,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(39.360700171, -111.587130635)",SYNOP,LEAD,LEAD1_6,,49,,,Yes,CAT10001
2020,ME,Maine,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,No,10002,,,,,,For older adults,Type of Program,"(45.254228894000505, -68.98503133599962)",SYNOP,PROG,PROG4_3,,23,BO20,BOC3,No,CAT10002
2022,NV,Nevada,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,Yes,10001,,,,,,Public health experience,Requirement,"(39.493240390000494, -117.07184056399967)",SYNOP,LEAD,LEAD1_5,,32,BO3,BOC1,Yes,CAT10001
2011,SD,South Dakota,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,,99999,NA,Question not asked,,,,,,"(44.353130053, -100.373530637)",SYNOP,LEAD,LEAD1_3,,46,,,Not Asked,CAT99999
