PROVIDER NAME,CITY,STATE,CLAIMS PAID FOR VACCINE
SAFEWAY PHARMACY #0105,BOISE,ID,1856.94
SAFEWAY PHARMACY #0107,BOISE,ID,4665.33
SAFEWAY PHARMACY #0128,BOISE,ID,1780
SAFEWAY PHARMACY #0137,BOISE,ID,3867.76
SAFEWAY PHARMACY #0149,BOISE,ID,1560
SAFEWAY PHARMACY #0174,BOISE,ID,7096.78
SAFEWAY PHARMACY #0186,BOISE,ID,1200
SAFEWAY PHARMACY #0188,BOISE,ID,5528
SAFEWAY PHARMACY #0216,BOISE,ID,2250.66
SAFEWAY PHARMACY #0236,BOISE,ID,2062.27
SAFEWAY PHARMACY #0239,BOISE,ID,2886.98
SAFEWAY PHARMACY #0240,BOISE,ID,1919.21
SAFEWAY PHARMACY #0244,BOISE,ID,38455.83
SAFEWAY PHARMACY #0245,BOISE,ID,1655.99
SAFEWAY PHARMACY #0246,BOISE,ID,513.88
SAFEWAY PHARMACY #0247,BOISE,ID,2148.39
SAFEWAY PHARMACY #0248,BOISE,ID,3359.21
SAFEWAY PHARMACY #0249,BOISE,ID,480
SAFEWAY PHARMACY #0252,BOISE,ID,1182.27
SAFEWAY PHARMACY #0253,BOISE,ID,1022.27
SAFEWAY PHARMACY #0255,BOISE,ID,1033.88
SAFEWAY PHARMACY #0261,BOISE,ID,280
SAFEWAY PHARMACY #0267,BOISE,ID,656.94
SAFEWAY PHARMACY #0270,BOISE,ID,720
SAFEWAY PHARMACY #0272,BOISE,ID,513.88
SAFEWAY PHARMACY #0273,BOISE,ID,11039.79
SAFEWAY PHARMACY #0274,BOISE,ID,873.56
SAFEWAY PHARMACY #0275,BOISE,ID,4080
SAFEWAY PHARMACY #0280,BOISE,ID,960
SAFEWAY PHARMACY #0290,BOISE,ID,1432.93
SAFEWAY PHARMACY #0305,BOISE,ID,27216.94
SAFEWAY PHARMACY #0307,BOISE,ID,840
SAFEWAY PHARMACY #0316,BOISE,ID,4633.88
SAFEWAY PHARMACY #0322,BOISE,ID,2941.64
SAFEWAY PHARMACY #0329,BOISE,ID,3210.82
SAFEWAY PHARMACY #0333,BOISE,ID,656.94
SAFEWAY PHARMACY #0335,BOISE,ID,2050.19
SAFEWAY PHARMACY #0342,BOISE,ID,1935.52
SAFEWAY PHARMACY #0344,BOISE,ID,3720
SAFEWAY PHARMACY #0350,BOISE,ID,1713.88
SAFEWAY PHARMACY #0363,BOISE,ID,776.94
SAFEWAY PHARMACY #0368,BOISE,ID,1816.94
SAFEWAY PHARMACY #0371,BOISE,ID,200
SAFEWAY PHARMACY #0378,BOISE,ID,960
SAFEWAY PHARMACY #0382,BOISE,ID,1245.33
SAFEWAY PHARMACY #0383,BOISE,ID,3210.82
SAFEWAY PHARMACY #0385,BOISE,ID,1050.03
SAFEWAY PHARMACY #0386,BOISE,ID,536.94
SAFEWAY PHARMACY #0390,BOISE,ID,2769.4
SAFEWAY PHARMACY #0400,BOISE,ID,3665.82
SAFEWAY PHARMACY #0402,BOISE,ID,1160
SAFEWAY PHARMACY #0406,BOISE,ID,1400
SAFEWAY PHARMACY #0412,BOISE,ID,4363.75
SAFEWAY PHARMACY #0413,BOISE,ID,2696.15
SAFEWAY PHARMACY #0414,BOISE,ID,2170.03
SAFEWAY PHARMACY #0415,BOISE,ID,1320
SAFEWAY PHARMACY #0420,BOISE,ID,1787.76
SAFEWAY PHARMACY #0422,BOISE,ID,2130.82
SAFEWAY PHARMACY #0423,BOISE,ID,2640
SAFEWAY PHARMACY #0424,BOISE,ID,1140
SAFEWAY PHARMACY #0429,BOISE,ID,3444.7
SAFEWAY PHARMACY #0430,BOISE,ID,4604.54
SAFEWAY PHARMACY #0444,BOISE,ID,2587.76
SAFEWAY PHARMACY #0459,BOISE,ID,4530.82
SAFEWAY PHARMACY #0462,BOISE,ID,2323.91
SAFEWAY PHARMACY #0467,BOISE,ID,800
SAFEWAY PHARMACY #0469,BOISE,ID,2530.82
SAFEWAY PHARMACY #0474,BOISE,ID,1833.88
SAFEWAY PHARMACY #0485,BOISE,ID,1308.39
SAFEWAY PHARMACY #0488,BOISE,ID,1970.82
SAFEWAY PHARMACY #0490,BOISE,ID,1718.58
SAFEWAY PHARMACY #0494,BOISE,ID,2416.94
SAFEWAY PHARMACY #0497,BOISE,ID,2320
SAFEWAY PHARMACY #0502,BOISE,ID,1040
SAFEWAY PHARMACY #0503,BOISE,ID,1496.94
SAFEWAY PHARMACY #0508,BOISE,ID,5056.15
SAFEWAY PHARMACY #0509,BOISE,ID,495.52
SAFEWAY PHARMACY #0514,BOISE,ID,1496.94
SAFEWAY PHARMACY #0521,BOISE,ID,1948.39
SAFEWAY PHARMACY #0525,BOISE,ID,997.33
SAFEWAY PHARMACY #0526,BOISE,ID,2170.82
SAFEWAY PHARMACY #0531,BOISE,ID,6301.48
SAFEWAY PHARMACY #0533,BOISE,ID,2970.82
SAFEWAY PHARMACY #0534,BOISE,ID,1507.76
SAFEWAY PHARMACY #0535,BOISE,ID,2576.94
SAFEWAY PHARMACY #0537,BOISE,ID,3761.54
SAFEWAY PHARMACY #0538,BOISE,ID,2237.76
SAFEWAY PHARMACY #0543,BOISE,ID,3553.88
SAFEWAY PHARMACY #0544,BOISE,ID,2950.4
SAFEWAY PHARMACY #0547,BOISE,ID,3296.94
SAFEWAY PHARMACY #0548,BOISE,ID,873.88
SAFEWAY PHARMACY #0549,BOISE,ID,200
SAFEWAY PHARMACY #0555,BOISE,ID,2753.09
SAFEWAY PHARMACY #0556,BOISE,ID,1080
SAFEWAY PHARMACY #0557,BOISE,ID,440
SAFEWAY PHARMACY #0558,BOISE,ID,5472.3
SAFEWAY PHARMACY #0563,BOISE,ID,1799.21
SAFEWAY PHARMACY #0581,BOISE,ID,880
SAFEWAY PHARMACY #0583,BOISE,ID,760
SAFEWAY PHARMACY #0584,BOISE,ID,1936.15
SAFEWAY PHARMACY #0585,BOISE,ID,1600
SAFEWAY PHARMACY #0593,BOISE,ID,1056.94
SAFEWAY PHARMACY #0637,BOISE,ID,7800
SAFEWAY PHARMACY #0640,BOISE,ID,3385.86
SAFEWAY PHARMACY #0676,BOISE,ID,2040
SAFEWAY PHARMACY #0691,BOISE,ID,7722.01
SAFEWAY PHARMACY #0695,BOISE,ID,3480
SAFEWAY PHARMACY #0705,BOISE,ID,2296.94
SAFEWAY PHARMACY #0706,BOISE,ID,4760
SAFEWAY PHARMACY #0713,BOISE,ID,4338.32
SAFEWAY PHARMACY #0722,BOISE,ID,1468.39
SAFEWAY PHARMACY #0747,BOISE,ID,6096.94
SAFEWAY PHARMACY #0748,BOISE,ID,3369.24
SAFEWAY PHARMACY #0752,BOISE,ID,2170.82
SAFEWAY PHARMACY #0761,BOISE,ID,5033.88
SAFEWAY PHARMACY #0764,BOISE,ID,1853.88
SAFEWAY PHARMACY #0768,BOISE,ID,4480
SAFEWAY PHARMACY #0782,BOISE,ID,1376.94
SAFEWAY PHARMACY #0783,BOISE,ID,1718.42
SAFEWAY PHARMACY #0785,BOISE,ID,3993.88
SAFEWAY PHARMACY #0788,BOISE,ID,1560
SAFEWAY PHARMACY #0792,BOISE,ID,4370.82
SAFEWAY PHARMACY #0799,BOISE,ID,3726.39
SAFEWAY PHARMACY #0803,BOISE,ID,1496.15
SAFEWAY PHARMACY #0804,BOISE,ID,2136.94
SAFEWAY PHARMACY #0835,BOISE,ID,1455.52
SAFEWAY PHARMACY #0836,BOISE,ID,5694.28
SAFEWAY PHARMACY #0839,BOISE,ID,2763.75
SAFEWAY PHARMACY #0840,BOISE,ID,5337.38
SAFEWAY PHARMACY #0841,BOISE,ID,2245.33
SAFEWAY PHARMACY #0862,BOISE,ID,1496.94
SAFEWAY PHARMACY #0876,BOISE,ID,1120
SAFEWAY PHARMACY #0878,BOISE,ID,1536.94
SAFEWAY PHARMACY #0881,BOISE,ID,3782.27
SAFEWAY PHARMACY #0885,BOISE,ID,4390.82
SAFEWAY PHARMACY #0892,BOISE,ID,2632.93
SAFEWAY PHARMACY #0897,BOISE,ID,3348.39
SAFEWAY PHARMACY #0899,BOISE,ID,3967.76
SAFEWAY PHARMACY #0908,BOISE,ID,153.88
SAFEWAY PHARMACY #0909,BOISE,ID,1576.94
SAFEWAY PHARMACY #0911,BOISE,ID,3560
SAFEWAY PHARMACY #0914,BOISE,ID,2068.39
SAFEWAY PHARMACY #0917,BOISE,ID,6710.56
SAFEWAY PHARMACY #0918,BOISE,ID,5659.74
SAFEWAY PHARMACY #0920,BOISE,ID,7513.88
SAFEWAY PHARMACY #0932,BOISE,ID,1840
SAFEWAY PHARMACY #0933,BOISE,ID,1336.94
SAFEWAY PHARMACY #0942,BOISE,ID,1884.7
SAFEWAY PHARMACY #0950,BOISE,ID,2656.15
SAFEWAY PHARMACY #0951,BOISE,ID,1680
SAFEWAY PHARMACY #0954,BOISE,ID,680
SAFEWAY PHARMACY #0955,BOISE,ID,5593.88
SAFEWAY PHARMACY #0956,BOISE,ID,4816.94
SAFEWAY PHARMACY #0964,BOISE,ID,3976.94
SAFEWAY PHARMACY #0965,BOISE,ID,5040
SAFEWAY PHARMACY #0970,BOISE,ID,6433.88
SAFEWAY PHARMACY #0971,BOISE,ID,2000
SAFEWAY PHARMACY #0972,BOISE,ID,2066.65
SAFEWAY PHARMACY #0978,BOISE,ID,2480
SAFEWAY PHARMACY #0982,BOISE,ID,2181.48
SAFEWAY PHARMACY #0983,BOISE,ID,4798.26
SAFEWAY PHARMACY #0985,BOISE,ID,4673.88
SAFEWAY PHARMACY #0989,BOISE,ID,3753.09
SAFEWAY PHARMACY #0993,BOISE,ID,2800
SAFEWAY PHARMACY #0995,BOISE,ID,1376.94
SAFEWAY PHARMACY #0997,BOISE,ID,3520
SAFEWAY PHARMACY #0998,BOISE,ID,2050.82
SAFEWAY PHARMACY #1038,BOISE,ID,8192.46
SAFEWAY PHARMACY #1045,BOISE,ID,3755.1
SAFEWAY PHARMACY #1047,BOISE,ID,3610.82
SAFEWAY PHARMACY #1055,BOISE,ID,3316.52
SAFEWAY PHARMACY #1070,BOISE,ID,1268.39
SAFEWAY PHARMACY #1073,BOISE,ID,1793.88
SAFEWAY PHARMACY #1078,BOISE,ID,5219.47
SAFEWAY PHARMACY #1084,BOISE,ID,600
SAFEWAY PHARMACY #1087,BOISE,ID,2320
SAFEWAY PHARMACY #1089,BOISE,ID,1620
SAFEWAY PHARMACY #1090,BOISE,ID,1271.03
SAFEWAY PHARMACY #1094,BOISE,ID,1416.94
SAFEWAY PHARMACY #1103,BOISE,ID,52726.71
SAFEWAY PHARMACY #1109,BOISE,ID,5375.52
SAFEWAY PHARMACY #1110,BOISE,ID,6073.88
SAFEWAY PHARMACY #1116,BOISE,ID,2783.96
SAFEWAY PHARMACY #1117,BOISE,ID,3760
SAFEWAY PHARMACY #1123,BOISE,ID,976.94
SAFEWAY PHARMACY #1125,BOISE,ID,17138.85
SAFEWAY PHARMACY #1127,BOISE,ID,9787.76
SAFEWAY PHARMACY #1129,BOISE,ID,4400
SAFEWAY PHARMACY #1131,BOISE,ID,480
SAFEWAY PHARMACY #1135,BOISE,ID,1724.7
SAFEWAY PHARMACY #1138,BOISE,ID,6280
SAFEWAY PHARMACY #1142,BOISE,ID,2496.94
SAFEWAY PHARMACY #1143,BOISE,ID,1336.94
SAFEWAY PHARMACY #1158,BOISE,ID,1203.91
SAFEWAY PHARMACY #1159,BOISE,ID,2940.53
SAFEWAY PHARMACY #1160,BOISE,ID,336.94
SAFEWAY PHARMACY #1173,BOISE,ID,2920
SAFEWAY PHARMACY #1192,BOISE,ID,4993.09
SAFEWAY PHARMACY #1195,BOISE,ID,1205.33
SAFEWAY PHARMACY #1196,BOISE,ID,2680
SAFEWAY PHARMACY #1197,BOISE,ID,5320
SAFEWAY PHARMACY #1201,BOISE,ID,11553.88
SAFEWAY PHARMACY #1203,BOISE,ID,3386.81
SAFEWAY PHARMACY #1207,BOISE,ID,1090.82
SAFEWAY PHARMACY #1209,BOISE,ID,2760
SAFEWAY PHARMACY #1210,BOISE,ID,7065.85
SAFEWAY PHARMACY #1211,BOISE,ID,4381.48
SAFEWAY PHARMACY #1215,BOISE,ID,2079.21
SAFEWAY PHARMACY #1225,BOISE,ID,800
SAFEWAY PHARMACY #1234,BOISE,ID,1960
SAFEWAY PHARMACY #1242,BOISE,ID,1520
SAFEWAY PHARMACY #1245,BOISE,ID,2080
SAFEWAY PHARMACY #1248,BOISE,ID,3683.28
SAFEWAY PHARMACY #1252,BOISE,ID,1741.64
SAFEWAY PHARMACY #1253,BOISE,ID,4941.28
SAFEWAY PHARMACY #1255,BOISE,ID,930.82
SAFEWAY PHARMACY #1257,BOISE,ID,2920
SAFEWAY PHARMACY #1258,BOISE,ID,2200
SAFEWAY PHARMACY #1259,BOISE,ID,3685.33
SAFEWAY PHARMACY #1260,BOISE,ID,1822.43
SAFEWAY PHARMACY #1265,BOISE,ID,2227.6
SAFEWAY PHARMACY #1266,BOISE,ID,2929.87
SAFEWAY PHARMACY #1267,BOISE,ID,4644.7
SAFEWAY PHARMACY #1275,BOISE,ID,840
SAFEWAY PHARMACY #1276,BOISE,ID,9518.95
SAFEWAY PHARMACY #1281,BOISE,ID,1660
SAFEWAY PHARMACY #1283,BOISE,ID,1960
SAFEWAY PHARMACY #1285,BOISE,ID,1016.94
SAFEWAY PHARMACY #1286,BOISE,ID,2507.76
SAFEWAY PHARMACY #1287,BOISE,ID,2496.94
SAFEWAY PHARMACY #1291,BOISE,ID,4773.31
SAFEWAY PHARMACY #1293,BOISE,ID,2000
SAFEWAY PHARMACY #1294,BOISE,ID,2450.66
SAFEWAY PHARMACY #1297,BOISE,ID,2136.94
SAFEWAY PHARMACY #1298,BOISE,ID,2420
SAFEWAY PHARMACY #1299,BOISE,ID,1496.15
SAFEWAY PHARMACY #1304,BOISE,ID,1816.94
SAFEWAY PHARMACY #1351,BOISE,ID,1840
SAFEWAY PHARMACY #1358,BOISE,ID,1240
SAFEWAY PHARMACY #1365,BOISE,ID,3850.82
SAFEWAY PHARMACY #1369,BOISE,ID,4200
SAFEWAY PHARMACY #1407,BOISE,ID,1296.15
SAFEWAY PHARMACY #1417,BOISE,ID,2120
SAFEWAY PHARMACY #1428,BOISE,ID,1400
SAFEWAY PHARMACY #1431,BOISE,ID,2176.94
SAFEWAY PHARMACY #1434,BOISE,ID,1582.27
SAFEWAY PHARMACY #1436,BOISE,ID,4707.76
SAFEWAY PHARMACY #1437,BOISE,ID,1920
SAFEWAY PHARMACY #1438,BOISE,ID,800
SAFEWAY PHARMACY #1439,BOISE,ID,920
SAFEWAY PHARMACY #1440,BOISE,ID,2507.76
SAFEWAY PHARMACY #1443,BOISE,ID,3400
SAFEWAY PHARMACY #1445,BOISE,ID,9272.86
SAFEWAY PHARMACY #1446,BOISE,ID,2120.82
SAFEWAY PHARMACY #1447,BOISE,ID,2187.76
SAFEWAY PHARMACY #1448,BOISE,ID,1073.88
SAFEWAY PHARMACY #1449,BOISE,ID,3452.2
SAFEWAY PHARMACY #1455,BOISE,ID,1880
SAFEWAY PHARMACY #1458,BOISE,ID,736.94
SAFEWAY PHARMACY #1459,BOISE,ID,2520
SAFEWAY PHARMACY #1460,BOISE,ID,3000
SAFEWAY PHARMACY #1461,BOISE,ID,2400
SAFEWAY PHARMACY #1463,BOISE,ID,5140.69
SAFEWAY PHARMACY #1464,BOISE,ID,3593.88
SAFEWAY PHARMACY #1465,BOISE,ID,4793.88
SAFEWAY PHARMACY #1466,BOISE,ID,1010.82
SAFEWAY PHARMACY #1467,BOISE,ID,2384.21
SAFEWAY PHARMACY #1470,BOISE,ID,2090.5
SAFEWAY PHARMACY #1471,BOISE,ID,3970.82
SAFEWAY PHARMACY #1472,BOISE,ID,2240
SAFEWAY PHARMACY #1473,BOISE,ID,2308.81
SAFEWAY PHARMACY #1474,BOISE,ID,1787.44
SAFEWAY PHARMACY #1476,BOISE,ID,5061.64
SAFEWAY PHARMACY #1477,BOISE,ID,1684.7
SAFEWAY PHARMACY #1478,BOISE,ID,3040
SAFEWAY PHARMACY #1479,BOISE,ID,1997.79
SAFEWAY PHARMACY #1480,BOISE,ID,2426.94
SAFEWAY PHARMACY #1481,BOISE,ID,5616.94
SAFEWAY PHARMACY #1482,BOISE,ID,1881.48
SAFEWAY PHARMACY #1483,BOISE,ID,3440
SAFEWAY PHARMACY #1484,BOISE,ID,1056.94
SAFEWAY PHARMACY #1485,BOISE,ID,2336.94
SAFEWAY PHARMACY #1486,BOISE,ID,1120
SAFEWAY PHARMACY #1487,BOISE,ID,1520
SAFEWAY PHARMACY #1489,BOISE,ID,1690.82
SAFEWAY PHARMACY #1490,BOISE,ID,3096.94
SAFEWAY PHARMACY #1491,BOISE,ID,2200
SAFEWAY PHARMACY #1492,BOISE,ID,645.33
SAFEWAY PHARMACY #1493,BOISE,ID,4918.42
SAFEWAY PHARMACY #1494,BOISE,ID,906.94
SAFEWAY PHARMACY #1495,BOISE,ID,3008.92
SAFEWAY PHARMACY #1499,BOISE,ID,1067.76
SAFEWAY PHARMACY #1500,BOISE,ID,1160
SAFEWAY PHARMACY #1503,BOISE,ID,2450.66
SAFEWAY PHARMACY #1504,BOISE,ID,1553.88
SAFEWAY PHARMACY #1507,BOISE,ID,9679.17
SAFEWAY PHARMACY #1508,BOISE,ID,3165.33
SAFEWAY PHARMACY #1510,BOISE,ID,5346.18
SAFEWAY PHARMACY #1511,BOISE,ID,3019.9
SAFEWAY PHARMACY #1513,BOISE,ID,1920
SAFEWAY PHARMACY #1515,BOISE,ID,3336.94
SAFEWAY PHARMACY #1516,BOISE,ID,1445.33
SAFEWAY PHARMACY #1517,BOISE,ID,2713.56
SAFEWAY PHARMACY #1519,BOISE,ID,11524.7
SAFEWAY PHARMACY #1521,BOISE,ID,1240
SAFEWAY PHARMACY #1522,BOISE,ID,1896.94
SAFEWAY PHARMACY #1523,BOISE,ID,5027.6
SAFEWAY PHARMACY #1524,BOISE,ID,1816.94
SAFEWAY PHARMACY #1525,BOISE,ID,3033.88
SAFEWAY PHARMACY #1527,BOISE,ID,2960
SAFEWAY PHARMACY #1528,BOISE,ID,4704.76
SAFEWAY PHARMACY #1530,BOISE,ID,14345.34
SAFEWAY PHARMACY #1531,BOISE,ID,4479.9
SAFEWAY PHARMACY #1532,BOISE,ID,7485.29
SAFEWAY PHARMACY #1533,BOISE,ID,2583.72
SAFEWAY PHARMACY #1534,BOISE,ID,2993.56
SAFEWAY PHARMACY #1535,BOISE,ID,1388.39
SAFEWAY PHARMACY #1536,BOISE,ID,1320
SAFEWAY PHARMACY #1537,BOISE,ID,1136.78
SAFEWAY PHARMACY #1538,BOISE,ID,1193.88
SAFEWAY PHARMACY #1539,BOISE,ID,1320
SAFEWAY PHARMACY #1541,BOISE,ID,7534.57
SAFEWAY PHARMACY #1543,BOISE,ID,3216.78
SAFEWAY PHARMACY #1544,BOISE,ID,776.94
SAFEWAY PHARMACY #1546,BOISE,ID,1948.39
SAFEWAY PHARMACY #1547,BOISE,ID,21248.69
SAFEWAY PHARMACY #1548,BOISE,ID,2987.44
SAFEWAY PHARMACY #1549,BOISE,ID,1908.39
SAFEWAY PHARMACY #1550,BOISE,ID,2004.7
SAFEWAY PHARMACY #1551,BOISE,ID,3119.05
SAFEWAY PHARMACY #1552,BOISE,ID,4193.72
SAFEWAY PHARMACY #1553,BOISE,ID,5020
SAFEWAY PHARMACY #1554,BOISE,ID,1720
SAFEWAY PHARMACY #1555,BOISE,ID,3713.88
SAFEWAY PHARMACY #1556,BOISE,ID,816.94
SAFEWAY PHARMACY #1557,BOISE,ID,930.82
SAFEWAY PHARMACY #1558,BOISE,ID,1427.76
SAFEWAY PHARMACY #1563,BOISE,ID,1650.82
SAFEWAY PHARMACY #1565,BOISE,ID,3120
SAFEWAY PHARMACY #1566,BOISE,ID,6781.48
SAFEWAY PHARMACY #1568,BOISE,ID,2879.21
SAFEWAY PHARMACY #1570,BOISE,ID,1736.94
SAFEWAY PHARMACY #1571,BOISE,ID,1616.94
SAFEWAY PHARMACY #1572,BOISE,ID,3873.88
SAFEWAY PHARMACY #1576,BOISE,ID,5890.93
SAFEWAY PHARMACY #1577,BOISE,ID,2603.12
SAFEWAY PHARMACY #1578,BOISE,ID,1987.76
SAFEWAY PHARMACY #1579,BOISE,ID,3560
SAFEWAY PHARMACY #1581,BOISE,ID,520
SAFEWAY PHARMACY #1583,BOISE,ID,1000
SAFEWAY PHARMACY #1584,BOISE,ID,4882.33
SAFEWAY PHARMACY #1586,BOISE,ID,1125.33
SAFEWAY PHARMACY #1588,BOISE,ID,1960
SAFEWAY PHARMACY #1589,BOISE,ID,1153.88
SAFEWAY PHARMACY #1590,BOISE,ID,713.88
SAFEWAY PHARMACY #1591,BOISE,ID,1713.88
SAFEWAY PHARMACY #1592,BOISE,ID,8285.9
SAFEWAY PHARMACY #1593,BOISE,ID,1797.63
SAFEWAY PHARMACY #1594,BOISE,ID,3833.1
SAFEWAY PHARMACY #1596,BOISE,ID,2360
SAFEWAY PHARMACY #1599,BOISE,ID,3096.94
SAFEWAY PHARMACY #1600,BOISE,ID,9678.89
SAFEWAY PHARMACY #1601,BOISE,ID,2753.72
SAFEWAY PHARMACY #1604,BOISE,ID,1256.78
SAFEWAY PHARMACY #1605,BOISE,ID,1400
SAFEWAY PHARMACY #1606,BOISE,ID,2480
SAFEWAY PHARMACY #1611,BOISE,ID,9485.14
SAFEWAY PHARMACY #1612,BOISE,ID,2016.94
SAFEWAY PHARMACY #1614,BOISE,ID,3016.94
SAFEWAY PHARMACY #1615,BOISE,ID,12181.64
SAFEWAY PHARMACY #1616,BOISE,ID,1869.4
SAFEWAY PHARMACY #1617,BOISE,ID,16606.32
SAFEWAY PHARMACY #1618,BOISE,ID,6037.31
SAFEWAY PHARMACY #1619,BOISE,ID,2000
SAFEWAY PHARMACY #1620,BOISE,ID,2680
SAFEWAY PHARMACY #1624,BOISE,ID,1193.88
SAFEWAY PHARMACY #1627,BOISE,ID,1836.94
SAFEWAY PHARMACY #1629,BOISE,ID,4588.39
SAFEWAY PHARMACY #1630,BOISE,ID,1823.42
SAFEWAY PHARMACY #1631,BOISE,ID,3559.21
SAFEWAY PHARMACY #1635,BOISE,ID,5676.84
SAFEWAY PHARMACY #1637,BOISE,ID,3061.95
SAFEWAY PHARMACY #1639,BOISE,ID,1525.33
SAFEWAY PHARMACY #1642,BOISE,ID,1136.94
SAFEWAY PHARMACY #1643,BOISE,ID,805.66
SAFEWAY PHARMACY #1644,BOISE,ID,2210.82
SAFEWAY PHARMACY #1645,BOISE,ID,4939.11
SAFEWAY PHARMACY #1646,BOISE,ID,400
SAFEWAY PHARMACY #1647,BOISE,ID,14340.53
SAFEWAY PHARMACY #1648,BOISE,ID,6422.27
SAFEWAY PHARMACY #1652,BOISE,ID,2640
SAFEWAY PHARMACY #1653,BOISE,ID,7951.67
SAFEWAY PHARMACY #1654,BOISE,ID,3849.4
SAFEWAY PHARMACY #1656,BOISE,ID,4901.64
SAFEWAY PHARMACY #1657,BOISE,ID,4480
SAFEWAY PHARMACY #1659,BOISE,ID,2582.08
SAFEWAY PHARMACY #1660,BOISE,ID,2192.3
SAFEWAY PHARMACY #1661,BOISE,ID,16080
SAFEWAY PHARMACY #1662,BOISE,ID,1760
SAFEWAY PHARMACY #1663,BOISE,ID,1335.99
SAFEWAY PHARMACY #1664,BOISE,ID,3804.7
SAFEWAY PHARMACY #1665,BOISE,ID,1130.82
SAFEWAY PHARMACY #1666,BOISE,ID,730.82
SAFEWAY PHARMACY #1667,BOISE,ID,3649.08
SAFEWAY PHARMACY #1668,BOISE,ID,3032.3
SAFEWAY PHARMACY #1678,BOISE,ID,1680
SAFEWAY PHARMACY #1681,BOISE,ID,953.88
SAFEWAY PHARMACY #1682,BOISE,ID,32846.02
SAFEWAY PHARMACY #1684,BOISE,ID,1136.94
SAFEWAY PHARMACY #1687,BOISE,ID,10863.33
SAFEWAY PHARMACY #1689,BOISE,ID,3570.82
SAFEWAY PHARMACY #1690,BOISE,ID,616.94
SAFEWAY PHARMACY #1702,BOISE,ID,7276.84
SAFEWAY PHARMACY #1704,BOISE,ID,11302.71
SAFEWAY PHARMACY #1706,BOISE,ID,8008.56
SAFEWAY PHARMACY #1710,BOISE,ID,616.94
SAFEWAY PHARMACY #1711,BOISE,ID,1680
SAFEWAY PHARMACY #1713,BOISE,ID,4027.76
SAFEWAY PHARMACY #1715,BOISE,ID,5480
SAFEWAY PHARMACY #1716,BOISE,ID,1840
SAFEWAY PHARMACY #1717,BOISE,ID,1440
SAFEWAY PHARMACY #1721,BOISE,ID,508.39
SAFEWAY PHARMACY #1724,BOISE,ID,19620.33
SAFEWAY PHARMACY #1731,BOISE,ID,1520
SAFEWAY PHARMACY #1732,BOISE,ID,1416.94
SAFEWAY PHARMACY #1733,BOISE,ID,1786.97
SAFEWAY PHARMACY #1740,BOISE,ID,1760
SAFEWAY PHARMACY #1743,BOISE,ID,1960
SAFEWAY PHARMACY #1746,BOISE,ID,11258
SAFEWAY PHARMACY #1747,BOISE,ID,600
SAFEWAY PHARMACY #1748,BOISE,ID,885.17
SAFEWAY PHARMACY #1749,BOISE,ID,6896.15
SAFEWAY PHARMACY #1750,BOISE,ID,2388.39
SAFEWAY PHARMACY #1751,BOISE,ID,4357.16
SAFEWAY PHARMACY #1757,BOISE,ID,3164.22
SAFEWAY PHARMACY #1758,BOISE,ID,4680
SAFEWAY PHARMACY #1759,BOISE,ID,4073.88
SAFEWAY PHARMACY #1760,BOISE,ID,3492.99
SAFEWAY PHARMACY #1761,BOISE,ID,4410.66
SAFEWAY PHARMACY #1762,BOISE,ID,3564.1
SAFEWAY PHARMACY #1763,BOISE,ID,360
SAFEWAY PHARMACY #1765,BOISE,ID,2850.82
SAFEWAY PHARMACY #1769,BOISE,ID,8660.53
SAFEWAY PHARMACY #1771,BOISE,ID,1000
SAFEWAY PHARMACY #1791,BOISE,ID,2644.54
SAFEWAY PHARMACY #1792,BOISE,ID,816.94
SAFEWAY PHARMACY #1794,BOISE,ID,7876.68
SAFEWAY PHARMACY #1798,BOISE,ID,3325.49
SAFEWAY PHARMACY #1799,BOISE,ID,616.94
SAFEWAY PHARMACY #1800,BOISE,ID,2153.09
SAFEWAY PHARMACY #1801,BOISE,ID,1640
SAFEWAY PHARMACY #1803,BOISE,ID,1640
SAFEWAY PHARMACY #1804,BOISE,ID,9725.33
SAFEWAY PHARMACY #1808,BOISE,ID,1200
SAFEWAY PHARMACY #1815,BOISE,ID,1200
SAFEWAY PHARMACY #1818,BOISE,ID,722.72
SAFEWAY PHARMACY #1819,BOISE,ID,2273.72
SAFEWAY PHARMACY #1820,BOISE,ID,1321.88
SAFEWAY PHARMACY #1821,BOISE,ID,3039.05
SAFEWAY PHARMACY #1824,BOISE,ID,5432.14
SAFEWAY PHARMACY #1825,BOISE,ID,9574.2
SAFEWAY PHARMACY #1826,BOISE,ID,8009.03
SAFEWAY PHARMACY #1827,BOISE,ID,1096.94
SAFEWAY PHARMACY #1828,BOISE,ID,3239.05
SAFEWAY PHARMACY #1832,BOISE,ID,1481.38
SAFEWAY PHARMACY #1841,BOISE,ID,1240
SAFEWAY PHARMACY #1842,BOISE,ID,11826.86
SAFEWAY PHARMACY #1844,BOISE,ID,3210.82
SAFEWAY PHARMACY #1846,BOISE,ID,6441.06
SAFEWAY PHARMACY #1847,BOISE,ID,6160
SAFEWAY PHARMACY #1849,BOISE,ID,3305.86
SAFEWAY PHARMACY #1863,BOISE,ID,816.94
SAFEWAY PHARMACY #1864,BOISE,ID,1553.88
SAFEWAY PHARMACY #1866,BOISE,ID,3879.21
SAFEWAY PHARMACY #1873,BOISE,ID,3170.03
