Comparison_Type,Week_Ending,Current_Season_Week_Ending_Label,Comparison_Group1,Comparison_Group2,Comparison_Group1_Point_Estimate,Comparison_Group2_Point_Estimate,Difference_Estimate,Difference_Estimate_Lower_95_CI,Difference_Estimate_Upper_95_CI,Signficant_at_95_Pct,Comparison_Group1_Sort_Order,Comparison_Group2_Sort_Order
Within Season Age Comparison,11/18/2023,11/18/2023,6-23 months,5-11 years,44.6,39.3,5.4,2.47,8.29,*,4,6
Within Season Age Comparison,11/25/2023,11/25/2023,6-23 months,5-11 years,46.8,40.4,6.4,2.6,10.19,*,4,6
Within Season Age Comparison,11/25/2023,11/25/2023,6 months-4 years,5-11 years,43.1,40.4,2.7,0.45,5.02,*,3,6
Within Season Age Comparison,11/25/2023,11/25/2023,5-17 years,5-11 years,37.2,40.4,-3.1,-5.02,-1.23,*,5,6
Within Season Age Comparison,12/02/2023,12/02/2023,5-17 years,5-11 years,41.9,44.6,-2.6,-3.89,-1.37,*,5,6
Within Season Age Comparison,12/02/2023,12/02/2023,6 months-4 years,5-11 years,47.8,44.6,3.2,1.65,4.79,*,3,6
Within Season Age Comparison,12/02/2023,12/02/2023,6-23 months,5-11 years,51.3,44.6,6.7,4.5,8.95,*,4,6
Within Season Age Comparison,12/09/2023,12/09/2023,6-23 months,5-11 years,52,45.1,6.9,4.54,9.34,*,4,6
Within Season Age Comparison,12/09/2023,12/09/2023,6 months-4 years,5-11 years,48.1,45.1,3,1.39,4.68,*,3,6
Within Season Age Comparison,12/09/2023,12/09/2023,5-17 years,5-11 years,42.4,45.1,-2.6,-3.99,-1.3,*,5,6
Within Season Age Comparison,12/16/2023,12/16/2023,5-17 years,5-11 years,42.9,45.2,-2.3,-3.68,-0.88,*,5,6
Within Season Age Comparison,12/16/2023,12/16/2023,6 months-4 years,5-11 years,48.4,45.2,3.2,1.57,4.91,*,3,6
Within Season Age Comparison,12/16/2023,12/16/2023,6-23 months,5-11 years,52.2,45.2,7,4.56,9.39,*,4,6
Within Season Age Comparison,12/23/2023,12/23/2023,6-23 months,5-11 years,52.6,45.5,7.1,4.62,9.67,*,4,6
Within Season Age Comparison,12/23/2023,12/23/2023,6 months-4 years,5-11 years,48.9,45.5,3.4,1.62,5.11,*,3,6
Within Season Age Comparison,12/23/2023,12/23/2023,5-17 years,5-11 years,43.4,45.5,-2.1,-3.56,-0.71,*,5,6
Within Season Age Comparison,12/30/2023,12/30/2023,5-17 years,5-11 years,43.4,45.5,-2.1,-3.54,-0.69,*,5,6
Within Season Age Comparison,12/30/2023,12/30/2023,6 months-4 years,5-11 years,48.9,45.5,3.4,1.63,5.12,*,3,6
Within Season Age Comparison,12/30/2023,12/30/2023,6-23 months,5-11 years,52.6,45.5,7.1,4.61,9.66,*,4,6
Within Season Age Comparison,01/06/2024,01/06/2024,6-23 months,5-11 years,58.1,48.5,9.5,7.03,12.04,*,4,6
Within Season Age Comparison,01/06/2024,01/06/2024,6 months-4 years,5-11 years,54.6,48.5,6.1,4.26,7.85,*,3,6
Within Season Age Comparison,01/06/2024,01/06/2024,5-17 years,5-11 years,45.9,48.5,-2.7,-4,-1.31,*,5,6
Within Season Age Comparison,01/13/2024,01/13/2024,5-17 years,5-11 years,46.2,49.1,-2.9,-4.29,-1.46,*,5,6
Within Season Age Comparison,01/13/2024,01/13/2024,6 months-4 years,5-11 years,55.1,49.1,6.1,4.22,7.94,*,3,6
Within Season Age Comparison,01/13/2024,01/13/2024,6-23 months,5-11 years,58.3,49.1,9.2,6.6,11.77,*,4,6
Within Season Age Comparison,01/20/2024,01/20/2024,6-23 months,5-11 years,59.6,49.4,10.3,7.49,13.03,*,4,6
Within Season Age Comparison,01/20/2024,01/20/2024,6 months-4 years,5-11 years,55.9,49.4,6.5,4.66,8.41,*,3,6
Within Season Age Comparison,01/20/2024,01/20/2024,5-17 years,5-11 years,46.4,49.4,-3,-4.37,-1.56,*,5,6
Within Season Age Comparison,01/27/2024,01/27/2024,5-17 years,5-11 years,46.6,49.8,-3.2,-4.69,-1.67,*,5,6
Within Season Age Comparison,01/27/2024,01/27/2024,6 months-4 years,5-11 years,56.4,49.8,6.6,4.6,8.61,*,3,6
Within Season Age Comparison,01/27/2024,01/27/2024,6-23 months,5-11 years,60.5,49.8,10.7,7.67,13.74,*,4,6
Within Season Age Comparison,02/03/2024,02/03/2024,6-23 months,5-11 years,61.6,50.9,10.8,8.14,13.38,*,4,6
Within Season Age Comparison,02/03/2024,02/03/2024,5-17 years,5-11 years,48,50.9,-2.8,-4.25,-1.44,*,5,6
Within Season Age Comparison,02/03/2024,02/03/2024,6 months-4 years,5-11 years,57.2,50.9,6.4,4.54,8.19,*,3,6
Within Season Age Comparison,02/10/2024,02/10/2024,5-17 years,5-11 years,48.5,51.2,-2.7,-4.17,-1.25,*,5,6
Within Season Age Comparison,02/10/2024,02/10/2024,6 months-4 years,5-11 years,57.5,51.2,6.3,4.47,8.19,*,3,6
Within Season Age Comparison,02/10/2024,02/10/2024,6-23 months,5-11 years,62.3,51.2,11.1,8.36,13.88,*,4,6
Within Season Age Comparison,02/17/2024,02/17/2024,6-23 months,5-11 years,63.4,51.5,11.9,8.85,14.88,*,4,6
Within Season Age Comparison,02/17/2024,02/17/2024,6 months-4 years,5-11 years,58.3,51.5,6.8,4.8,8.74,*,3,6
Within Season Age Comparison,02/17/2024,02/17/2024,5-17 years,5-11 years,48.5,51.5,-3,-4.5,-1.54,*,5,6
Within Season Age Comparison,02/24/2024,02/24/2024,6 months-4 years,5-11 years,58.3,51.5,6.8,4.82,8.77,*,3,6
Within Season Age Comparison,02/24/2024,02/24/2024,6-23 months,5-11 years,63.5,51.5,11.9,8.93,14.96,*,4,6
Within Season Age Comparison,02/24/2024,02/24/2024,5-17 years,5-11 years,48.5,51.5,-3,-4.5,-1.54,*,5,6
Within Season Age Comparison,03/02/2024,03/02/2024,5-17 years,5-11 years,49.6,52.6,-3.1,-4.6,-1.52,*,5,6
Within Season Age Comparison,03/02/2024,03/02/2024,6-23 months,5-11 years,65.1,52.6,12.5,9.61,15.34,*,4,6
Within Season Age Comparison,03/02/2024,03/02/2024,6 months-4 years,5-11 years,59.8,52.6,7.1,5.16,9.11,*,3,6
Within Season Age Comparison,03/09/2024,03/09/2024,6 months-4 years,5-11 years,60,52.7,7.3,5.29,9.28,*,3,6
Within Season Age Comparison,03/09/2024,03/09/2024,5-17 years,5-11 years,49.6,52.7,-3.1,-4.61,-1.55,*,5,6
Within Season Age Comparison,03/09/2024,03/09/2024,6-23 months,5-11 years,65.2,52.7,12.5,9.6,15.32,*,4,6
Within Season Age Comparison,03/16/2024,03/16/2024,6-23 months,5-11 years,65.2,52.7,12.4,9.59,15.29,*,4,6
Within Season Age Comparison,03/16/2024,03/16/2024,5-17 years,5-11 years,49.6,52.7,-3.1,-4.58,-1.57,*,5,6
Within Season Age Comparison,03/16/2024,03/16/2024,6 months-4 years,5-11 years,60.2,52.7,7.5,5.53,9.48,*,3,6
Within Season Age Comparison,03/23/2024,03/23/2024,6 months-4 years,5-11 years,60.4,52.8,7.6,5.6,9.54,*,3,6
Within Season Age Comparison,03/23/2024,03/23/2024,5-17 years,5-11 years,49.9,52.8,-2.9,-4.37,-1.36,*,5,6
Within Season Age Comparison,03/23/2024,03/23/2024,6-23 months,5-11 years,65.2,52.8,12.4,9.53,15.22,*,4,6
Within Season Age Comparison,03/30/2024,03/30/2024,6-23 months,5-11 years,65.2,52.9,12.4,9.54,15.24,*,4,6
Within Season Age Comparison,03/30/2024,03/30/2024,6 months-4 years,5-11 years,60.4,52.9,7.5,5.56,9.51,*,3,6
Within Season Age Comparison,03/30/2024,03/30/2024,5-17 years,5-11 years,50,52.9,-2.9,-4.41,-1.39,*,5,6
Within Season Age Comparison,04/06/2024,04/06/2024,5-17 years,5-11 years,50.7,53.8,-3.1,-4.67,-1.54,*,5,6
Within Season Age Comparison,04/06/2024,04/06/2024,6 months-4 years,5-11 years,61.6,53.8,7.8,5.7,9.89,*,3,6
Within Season Age Comparison,04/06/2024,04/06/2024,6-23 months,5-11 years,67.1,53.8,13.3,10.38,16.32,*,4,6
Within Season Age Comparison,04/13/2024,04/13/2024,6-23 months,5-11 years,67.1,53.8,13.3,10.38,16.32,*,4,6
Within Season Age Comparison,04/13/2024,04/13/2024,6 months-4 years,5-11 years,61.6,53.8,7.8,5.7,9.89,*,3,6
Within Season Age Comparison,04/13/2024,04/13/2024,5-17 years,5-11 years,50.7,53.8,-3.1,-4.64,-1.51,*,5,6
Within Season Age Comparison,04/20/2024,04/20/2024,5-17 years,5-11 years,50.7,53.8,-3.1,-4.64,-1.52,*,5,6
Within Season Age Comparison,04/20/2024,04/20/2024,6 months-4 years,5-11 years,61.8,53.8,7.9,5.84,10.05,*,3,6
Within Season Age Comparison,04/20/2024,04/20/2024,6-23 months,5-11 years,67.1,53.8,13.3,10.32,16.27,*,4,6
Within Season Age Comparison,04/27/2024,04/27/2024,6-23 months,5-11 years,67.2,53.9,13.3,10.3,16.3,*,4,6
Within Season Age Comparison,04/27/2024,04/27/2024,6 months-4 years,5-11 years,61.8,53.9,7.9,5.72,9.98,*,3,6
Within Season Age Comparison,04/27/2024,04/27/2024,5-17 years,5-11 years,50.8,53.9,-3.1,-4.74,-1.56,*,5,6
Within Season Age Comparison,05/04/2024,05/04/2024,6 months-4 years,5-11 years,63.2,54.2,9,6.59,11.32,*,3,6
Within Season Age Comparison,05/04/2024,05/04/2024,5-17 years,5-11 years,51,54.2,-3.3,-4.92,-1.62,*,5,6
Within Season Age Comparison,05/04/2024,05/04/2024,6-23 months,5-11 years,68.9,54.2,14.6,11.27,18.02,*,4,6
Within Season Age Comparison,05/11/2024,05/11/2024,6-23 months,5-11 years,68.9,54.2,14.6,11.27,18.02,*,4,6
Within Season Age Comparison,05/11/2024,05/11/2024,6 months-4 years,5-11 years,63.2,54.2,9,6.59,11.32,*,3,6
Within Season Age Comparison,05/11/2024,05/11/2024,5-17 years,5-11 years,51,54.2,-3.3,-4.92,-1.62,*,5,6
Within Season Age Comparison,10/07/2023,10/07/2023,6 months-4 years,5-12 years,21.7,18.3,3.5,2.03,4.91,*,3,8
Within Season Age Comparison,10/07/2023,10/07/2023,6-23 months,5-12 years,24.4,18.3,6.2,3.88,8.48,*,4,8
Within Season Age Comparison,10/07/2023,10/07/2023,5-17 years,5-12 years,16.9,18.3,-1.3,-2.39,-0.25,*,5,8
Within Season Age Comparison,10/07/2023,10/07/2023,12-17 years,5-12 years,15.6,18.3,-2.7,-3.92,-1.45,*,7,8
Within Season Age Comparison,10/07/2023,10/07/2023,5-11 years,5-12 years,18.2,18.3,-0.1,-1.33,1.17,,6,8
Within Season Age Comparison,10/14/2023,10/14/2023,5-11 years,5-12 years,21.7,21.6,0.1,-1.59,1.78,,6,8
Within Season Age Comparison,10/14/2023,10/14/2023,12-17 years,5-12 years,17.3,21.6,-4.3,-5.84,-2.8,*,7,8
Within Season Age Comparison,10/14/2023,10/14/2023,5-17 years,5-12 years,19.6,21.6,-2,-3.36,-0.56,*,5,8
Within Season Age Comparison,10/14/2023,10/14/2023,6-23 months,5-12 years,28.2,21.6,6.7,3.81,9.49,*,4,8
Within Season Age Comparison,10/14/2023,10/14/2023,6 months-4 years,5-12 years,24.9,21.6,3.3,1.54,5.08,*,3,8
Within Season Age Comparison,10/21/2023,10/21/2023,6 months-4 years,5-12 years,28.8,25.1,3.7,1.52,5.89,*,3,8
Within Season Age Comparison,10/21/2023,10/21/2023,6-23 months,5-12 years,34.8,25.1,9.7,5.63,13.69,*,4,8
Within Season Age Comparison,10/21/2023,10/21/2023,5-17 years,5-12 years,23.4,25.1,-1.7,-3.34,-0.09,*,5,8
Within Season Age Comparison,10/21/2023,10/21/2023,12-17 years,5-12 years,21.4,25.1,-3.7,-5.56,-1.76,*,7,8
Within Season Age Comparison,10/21/2023,10/21/2023,5-11 years,5-12 years,25.2,25.1,0.1,-1.79,1.99,,6,8
Within Season Age Comparison,10/28/2023,10/28/2023,5-11 years,5-12 years,27.2,27.1,0.1,-2.1,2.34,,6,8
Within Season Age Comparison,10/28/2023,10/28/2023,12-17 years,5-12 years,22.6,27.1,-4.5,-6.71,-2.26,*,7,8
Within Season Age Comparison,10/28/2023,10/28/2023,5-17 years,5-12 years,25,27.1,-2.1,-4.01,-0.2,*,5,8
Within Season Age Comparison,10/28/2023,10/28/2023,6-23 months,5-12 years,37.7,27.1,10.6,5.88,15.22,*,4,8
Within Season Age Comparison,10/28/2023,10/28/2023,6 months-4 years,5-12 years,30.6,27.1,3.4,0.95,5.9,*,3,8
Within Season Age Comparison,11/04/2023,11/04/2023,6 months-4 years,5-12 years,38.3,35,3.3,1.8,4.75,*,3,8
Within Season Age Comparison,11/04/2023,11/04/2023,6-23 months,5-12 years,40.4,35,5.4,3.12,7.6,*,4,8
Within Season Age Comparison,11/04/2023,11/04/2023,5-17 years,5-12 years,33,35,-2,-3.04,-0.9,*,5,8
Within Season Age Comparison,11/04/2023,11/04/2023,12-17 years,5-12 years,31.1,35,-3.9,-5.15,-2.67,*,7,8
Within Season Age Comparison,11/04/2023,11/04/2023,5-11 years,5-12 years,34.9,35,-0.1,-1.32,1.14,,6,8
Within Season Age Comparison,11/11/2023,11/11/2023,5-11 years,5-12 years,36.9,36.9,0,-1.57,1.5,,6,8
Within Season Age Comparison,11/11/2023,11/11/2023,12-17 years,5-12 years,32.7,36.9,-4.2,-5.77,-2.69,*,7,8
Within Season Age Comparison,11/11/2023,11/11/2023,5-17 years,5-12 years,34.9,36.9,-2,-3.38,-0.71,*,5,8
Within Season Age Comparison,11/11/2023,11/11/2023,6-23 months,5-12 years,43.5,36.9,6.5,3.43,9.62,*,4,8
Within Season Age Comparison,11/11/2023,11/11/2023,6 months-4 years,5-12 years,40.7,36.9,3.8,1.94,5.57,*,3,8
Within Season Age Comparison,11/18/2023,11/18/2023,6 months-4 years,5-12 years,42.1,39,3.1,1.2,5.02,*,3,8
Within Season Age Comparison,11/18/2023,11/18/2023,5-17 years,5-12 years,36.5,39,-2.6,-4.13,-0.98,*,5,8
Within Season Age Comparison,11/18/2023,11/18/2023,6-23 months,5-12 years,44.6,39,5.6,2.8,8.47,*,4,8
Within Season Age Comparison,11/18/2023,11/18/2023,5-11 years,5-12 years,39.3,39,0.3,-1.63,2.15,,6,8
Within Season Age Comparison,11/18/2023,11/18/2023,12-17 years,5-12 years,33.4,39,-5.6,-7.31,-3.92,*,7,8
Within Season Age Comparison,11/25/2023,11/25/2023,12-17 years,5-12 years,33.9,40,-6.1,-7.98,-4.2,*,7,8
Within Season Age Comparison,11/25/2023,11/25/2023,5-11 years,5-12 years,40.4,40,0.4,-1.7,2.52,,6,8
Within Season Age Comparison,11/25/2023,11/25/2023,5-17 years,5-12 years,37.2,40,-2.7,-4.46,-0.97,*,5,8
Within Season Age Comparison,11/25/2023,11/25/2023,6-23 months,5-12 years,46.8,40,6.8,3.08,10.53,*,4,8
Within Season Age Comparison,11/25/2023,11/25/2023,6 months-4 years,5-12 years,43.1,40,3.1,0.98,5.31,*,3,8
Within Season Age Comparison,12/02/2023,12/02/2023,6 months-4 years,5-12 years,47.8,44.7,3.1,1.54,4.59,*,3,8
Within Season Age Comparison,12/02/2023,12/02/2023,6-23 months,5-12 years,51.3,44.7,6.6,4.38,8.76,*,4,8
Within Season Age Comparison,12/02/2023,12/02/2023,5-17 years,5-12 years,41.9,44.7,-2.8,-3.97,-1.59,*,5,8
Within Season Age Comparison,12/02/2023,12/02/2023,5-11 years,5-12 years,44.6,44.7,-0.2,-1.54,1.23,,6,8
Within Season Age Comparison,12/02/2023,12/02/2023,12-17 years,5-12 years,39.3,44.7,-5.4,-6.76,-3.99,*,7,8
Within Season Age Comparison,12/09/2023,12/09/2023,12-17 years,5-12 years,39.8,45.5,-5.7,-7.16,-4.16,*,7,8
Within Season Age Comparison,12/09/2023,12/09/2023,5-11 years,5-12 years,45.1,45.5,-0.4,-1.93,1.09,,6,8
Within Season Age Comparison,12/09/2023,12/09/2023,5-17 years,5-12 years,42.4,45.5,-3.1,-4.37,-1.76,*,5,8
Within Season Age Comparison,12/09/2023,12/09/2023,6-23 months,5-12 years,52,45.5,6.5,4.14,8.89,*,4,8
Within Season Age Comparison,12/09/2023,12/09/2023,6 months-4 years,5-12 years,48.1,45.5,2.6,1.01,4.22,*,3,8
Within Season Age Comparison,12/16/2023,12/16/2023,6 months-4 years,5-12 years,48.4,45.5,2.9,1.29,4.53,*,3,8
Within Season Age Comparison,12/16/2023,12/16/2023,6-23 months,5-12 years,52.2,45.5,6.6,4.26,9.03,*,4,8
Within Season Age Comparison,12/16/2023,12/16/2023,5-17 years,5-12 years,42.9,45.5,-2.6,-3.95,-1.26,*,5,8
Within Season Age Comparison,12/16/2023,12/16/2023,5-11 years,5-12 years,45.2,45.5,-0.3,-1.81,1.15,,6,8
Within Season Age Comparison,12/16/2023,12/16/2023,12-17 years,5-12 years,40.6,45.5,-4.9,-6.61,-3.18,*,7,8
Within Season Age Comparison,12/23/2023,12/23/2023,12-17 years,5-12 years,41.2,45.8,-4.6,-6.34,-2.89,*,7,8
Within Season Age Comparison,12/23/2023,12/23/2023,5-11 years,5-12 years,45.5,45.8,-0.3,-1.81,1.21,,6,8
Within Season Age Comparison,12/23/2023,12/23/2023,6-23 months,5-12 years,52.6,45.8,6.8,4.35,9.33,*,4,8
Within Season Age Comparison,12/23/2023,12/23/2023,6 months-4 years,5-12 years,48.9,45.8,3.1,1.37,4.76,*,3,8
Within Season Age Comparison,12/23/2023,12/23/2023,5-17 years,5-12 years,43.4,45.8,-2.4,-3.8,-1.07,*,5,8
Within Season Age Comparison,12/30/2023,12/30/2023,5-17 years,5-12 years,43.4,45.8,-2.5,-3.82,-1.09,*,5,8
Within Season Age Comparison,12/30/2023,12/30/2023,6 months-4 years,5-12 years,48.9,45.8,3,1.34,4.73,*,3,8
Within Season Age Comparison,12/30/2023,12/30/2023,6-23 months,5-12 years,52.6,45.8,6.8,4.31,9.29,*,4,8
Within Season Age Comparison,12/30/2023,12/30/2023,5-11 years,5-12 years,45.5,45.8,-0.3,-1.85,1.17,,6,8
Within Season Age Comparison,12/30/2023,12/30/2023,12-17 years,5-12 years,41.2,45.8,-4.6,-6.34,-2.88,*,7,8
Within Season Age Comparison,01/06/2024,01/06/2024,12-17 years,5-12 years,43.1,48.8,-5.7,-7.19,-4.2,*,7,8
Within Season Age Comparison,01/06/2024,01/06/2024,5-11 years,5-12 years,48.5,48.8,-0.3,-1.72,1.22,,6,8
Within Season Age Comparison,01/06/2024,01/06/2024,6-23 months,5-12 years,58.1,48.8,9.3,6.8,11.75,*,4,8
Within Season Age Comparison,01/06/2024,01/06/2024,6 months-4 years,5-12 years,54.6,48.8,5.8,4.06,7.55,*,3,8
Within Season Age Comparison,01/06/2024,01/06/2024,5-17 years,5-12 years,45.9,48.8,-2.9,-4.19,-1.63,*,5,8
Within Season Age Comparison,01/13/2024,01/13/2024,5-17 years,5-12 years,46.2,49.2,-3,-4.35,-1.68,*,5,8
Within Season Age Comparison,01/13/2024,01/13/2024,6 months-4 years,5-12 years,55.1,49.2,5.9,4.14,7.74,*,3,8
Within Season Age Comparison,01/13/2024,01/13/2024,6-23 months,5-12 years,58.3,49.2,9,6.5,11.59,*,4,8
Within Season Age Comparison,01/13/2024,01/13/2024,5-11 years,5-12 years,49.1,49.2,-0.1,-1.7,1.41,,6,8
Within Season Age Comparison,01/13/2024,01/13/2024,12-17 years,5-12 years,43.2,49.2,-6,-7.52,-4.46,*,7,8
Within Season Age Comparison,01/20/2024,01/20/2024,12-17 years,5-12 years,43.3,49.5,-6.2,-7.71,-4.65,*,7,8
Within Season Age Comparison,01/20/2024,01/20/2024,5-11 years,5-12 years,49.4,49.5,-0.1,-1.64,1.45,,6,8
Within Season Age Comparison,01/20/2024,01/20/2024,6-23 months,5-12 years,59.6,49.5,10.2,7.43,12.9,*,4,8
Within Season Age Comparison,01/20/2024,01/20/2024,6 months-4 years,5-12 years,55.9,49.5,6.4,4.62,8.25,*,3,8
Within Season Age Comparison,01/20/2024,01/20/2024,5-17 years,5-12 years,46.4,49.5,-3.1,-4.39,-1.73,*,5,8
Within Season Age Comparison,01/27/2024,01/27/2024,5-17 years,5-12 years,46.6,49.8,-3.2,-4.62,-1.79,*,5,8
Within Season Age Comparison,01/27/2024,01/27/2024,6 months-4 years,5-12 years,56.4,49.8,6.6,4.64,8.52,*,3,8
Within Season Age Comparison,01/27/2024,01/27/2024,6-23 months,5-12 years,60.5,49.8,10.7,7.69,13.67,*,4,8
Within Season Age Comparison,01/27/2024,01/27/2024,5-11 years,5-12 years,49.8,49.8,0,-1.71,1.65,,6,8
Within Season Age Comparison,01/27/2024,01/27/2024,12-17 years,5-12 years,43.3,49.8,-6.5,-8.13,-4.96,*,7,8
Within Season Age Comparison,02/03/2024,02/03/2024,12-17 years,5-12 years,45.2,51,-5.8,-7.4,-4.26,*,7,8
Within Season Age Comparison,02/03/2024,02/03/2024,5-11 years,5-12 years,50.9,51,-0.2,-1.7,1.39,,6,8
Within Season Age Comparison,02/03/2024,02/03/2024,6-23 months,5-12 years,61.6,51,10.6,8.02,13.19,*,4,8
Within Season Age Comparison,02/03/2024,02/03/2024,5-17 years,5-12 years,48,51,-3,-4.33,-1.67,*,5,8
Within Season Age Comparison,02/03/2024,02/03/2024,6 months-4 years,5-12 years,57.2,51,6.2,4.44,7.98,*,3,8
Within Season Age Comparison,02/10/2024,02/10/2024,5-17 years,5-12 years,48.5,51.3,-2.8,-4.19,-1.42,*,5,8
Within Season Age Comparison,02/10/2024,02/10/2024,6 months-4 years,5-12 years,57.5,51.3,6.2,4.43,8.03,*,3,8
Within Season Age Comparison,02/10/2024,02/10/2024,6-23 months,5-12 years,62.3,51.3,11,8.3,13.74,*,4,8
Within Season Age Comparison,02/10/2024,02/10/2024,5-11 years,5-12 years,51.2,51.3,-0.1,-1.67,1.47,,6,8
Within Season Age Comparison,02/10/2024,02/10/2024,12-17 years,5-12 years,45.4,51.3,-5.8,-7.43,-4.24,*,7,8
Within Season Age Comparison,02/17/2024,02/17/2024,12-17 years,5-12 years,45.4,51.6,-6.2,-7.81,-4.56,*,7,8
Within Season Age Comparison,02/17/2024,02/17/2024,5-11 years,5-12 years,51.5,51.6,-0.1,-1.72,1.54,,6,8
Within Season Age Comparison,02/17/2024,02/17/2024,6-23 months,5-12 years,63.4,51.6,11.8,8.8,14.74,*,4,8
Within Season Age Comparison,02/17/2024,02/17/2024,6 months-4 years,5-12 years,58.3,51.6,6.7,4.77,8.59,*,3,8
Within Season Age Comparison,02/17/2024,02/17/2024,5-17 years,5-12 years,48.5,51.6,-3.1,-4.51,-1.71,*,5,8
Within Season Age Comparison,02/24/2024,02/24/2024,6 months-4 years,5-12 years,58.3,51.6,6.7,4.79,8.61,*,3,8
Within Season Age Comparison,02/24/2024,02/24/2024,6-23 months,5-12 years,63.5,51.6,11.8,8.87,14.82,*,4,8
Within Season Age Comparison,02/24/2024,02/24/2024,5-11 years,5-12 years,51.5,51.6,-0.1,-1.72,1.54,,6,8
Within Season Age Comparison,02/24/2024,02/24/2024,5-17 years,5-12 years,48.5,51.6,-3.1,-4.51,-1.71,*,5,8
Within Season Age Comparison,02/24/2024,02/24/2024,12-17 years,5-12 years,45.4,51.6,-6.2,-7.81,-4.56,*,7,8
Within Season Age Comparison,03/02/2024,03/02/2024,12-17 years,5-12 years,46.5,52.6,-6.2,-7.84,-4.49,*,7,8
Within Season Age Comparison,03/02/2024,03/02/2024,5-11 years,5-12 years,52.6,52.6,0,-1.68,1.7,,6,8
Within Season Age Comparison,03/02/2024,03/02/2024,5-17 years,5-12 years,49.6,52.6,-3.1,-4.5,-1.61,*,5,8
Within Season Age Comparison,03/02/2024,03/02/2024,6-23 months,5-12 years,65.1,52.6,12.5,9.67,15.3,*,4,8
Within Season Age Comparison,03/02/2024,03/02/2024,6 months-4 years,5-12 years,59.8,52.6,7.1,5.25,9.04,*,3,8
Within Season Age Comparison,03/09/2024,03/09/2024,5-17 years,5-12 years,49.6,52.7,-3.1,-4.52,-1.63,*,5,8
Within Season Age Comparison,03/09/2024,03/09/2024,6 months-4 years,5-12 years,60,52.7,7.3,5.37,9.21,*,3,8
Within Season Age Comparison,03/09/2024,03/09/2024,6-23 months,5-12 years,65.2,52.7,12.5,9.65,15.28,*,4,8
Within Season Age Comparison,03/09/2024,03/09/2024,5-11 years,5-12 years,52.7,52.7,0,-1.68,1.69,,6,8
Within Season Age Comparison,03/09/2024,03/09/2024,12-17 years,5-12 years,46.5,52.7,-6.2,-7.89,-4.55,*,7,8
Within Season Age Comparison,03/16/2024,03/16/2024,12-17 years,5-12 years,46.5,52.7,-6.2,-7.89,-4.58,*,7,8
Within Season Age Comparison,03/16/2024,03/16/2024,5-11 years,5-12 years,52.7,52.7,0,-1.67,1.63,,6,8
Within Season Age Comparison,03/16/2024,03/16/2024,6-23 months,5-12 years,65.2,52.7,12.4,9.62,15.23,*,4,8
Within Season Age Comparison,03/16/2024,03/16/2024,5-17 years,5-12 years,49.6,52.7,-3.1,-4.52,-1.68,*,5,8
Within Season Age Comparison,03/16/2024,03/16/2024,6 months-4 years,5-12 years,60.2,52.7,7.5,5.57,9.39,*,3,8
Within Season Age Comparison,03/23/2024,03/23/2024,6 months-4 years,5-12 years,60.4,52.9,7.5,5.58,9.41,*,3,8
Within Season Age Comparison,03/23/2024,03/23/2024,5-17 years,5-12 years,49.9,52.9,-2.9,-4.37,-1.5,*,5,8
Within Season Age Comparison,03/23/2024,03/23/2024,6-23 months,5-12 years,65.2,52.9,12.3,9.5,15.11,*,4,8
Within Season Age Comparison,03/23/2024,03/23/2024,5-11 years,5-12 years,52.8,52.9,-0.1,-1.71,1.57,,6,8
Within Season Age Comparison,03/23/2024,03/23/2024,12-17 years,5-12 years,47,52.9,-5.9,-7.62,-4.17,*,7,8
Within Season Age Comparison,03/30/2024,03/30/2024,12-17 years,5-12 years,47,52.9,-5.9,-7.67,-4.23,*,7,8
Within Season Age Comparison,03/30/2024,03/30/2024,5-11 years,5-12 years,52.9,52.9,-0.1,-1.7,1.59,,6,8
Within Season Age Comparison,03/30/2024,03/30/2024,6-23 months,5-12 years,65.2,52.9,12.3,9.52,15.15,*,4,8
Within Season Age Comparison,03/30/2024,03/30/2024,6 months-4 years,5-12 years,60.4,52.9,7.5,5.56,9.39,*,3,8
Within Season Age Comparison,03/30/2024,03/30/2024,5-17 years,5-12 years,50,52.9,-3,-4.4,-1.52,*,5,8
Within Season Age Comparison,04/06/2024,04/06/2024,5-17 years,5-12 years,50.7,53.8,-3.2,-4.63,-1.67,*,5,8
Within Season Age Comparison,04/06/2024,04/06/2024,6 months-4 years,5-12 years,61.6,53.8,7.7,5.71,9.78,*,3,8
Within Season Age Comparison,04/06/2024,04/06/2024,6-23 months,5-12 years,67.1,53.8,13.3,10.37,16.23,*,4,8
Within Season Age Comparison,04/06/2024,04/06/2024,5-11 years,5-12 years,53.8,53.8,0,-1.75,1.66,,6,8
Within Season Age Comparison,04/06/2024,04/06/2024,12-17 years,5-12 years,47.3,53.8,-6.5,-8.2,-4.73,*,7,8
Within Season Age Comparison,04/13/2024,04/13/2024,12-17 years,5-12 years,47.4,53.8,-6.4,-8.18,-4.71,*,7,8
Within Season Age Comparison,04/13/2024,04/13/2024,5-11 years,5-12 years,53.8,53.8,0,-1.75,1.66,,6,8
Within Season Age Comparison,04/13/2024,04/13/2024,6-23 months,5-12 years,67.1,53.8,13.3,10.37,16.23,*,4,8
Within Season Age Comparison,04/13/2024,04/13/2024,6 months-4 years,5-12 years,61.6,53.8,7.7,5.71,9.78,*,3,8
