Title,Author(s),Journal,Fiscal Year,Publication Year,DOI Link,All Authors,Category Topics,Journal Information,Keyword Search Expanded,URL,Row
Barriers and facilitators to implementing cancer survivorship care plans.,"Dulko D, Pace CM, Dittus KL, Sprague BL, Pollack LA, Hawkins NA, Geller BM.",Oncology Nursing Forum,2014,2013,https://dx.doi.org/10.1188/13.ONF.575-580,"Dulko D, Pace CM, Dittus KL, Sprague BL, Pollack LA, Hawkins NA, Geller BM.",Cancer Survivorship,Journal: Oncology Nursing Forum (Volume: 40; Issue: 6; Pages: 575 - 580),"Barriers and facilitators to implementing cancer survivorship care plans.|Dulko D|Pace CM, Dittus KL, Sprague BL, Pollack LA, Hawkins NA, Geller BM.|Oncology Nursing Forum|40",http://www.ncbi.nlm.nih.gov/pubmed/24161636,165
Barriers to colorectal cancer screening: A comparison of reports from primary care physicians and average-risk adults.,"Klabunde CN, Vernon SW, Nadel MR, Breen N, Seeff LC, Brown ML.",Medical Care,2005,2005,,"Klabunde CN, Vernon SW, Nadel MR, Breen N, Seeff LC, Brown ML.",Colorectal (Colon) Cancer,Journal: Medical Care (Volume: 43; Issue: 9; Pages: 939 - 944),"Barriers to colorectal cancer screening: A comparison of reports from primary care physicians and average-risk adults.|Klabunde CN|Vernon SW, Nadel MR, Breen N, Seeff LC, Brown ML.|Medical Care|43",http://www.ncbi.nlm.nih.gov/pubmed/16116360,166
Barriers to HPV vaccination among U.S. adolescents: a systematic review of the literature.,"Holman DM, Benard V, Roland KB, Watson M, Liddon N, Stokley S.",JAMA Pediatrics,2014,2013,https://dx.doi.org/10.1001/jamapediatrics.2013.2752,"Holman DM, Benard V, Roland KB, Watson M, Liddon N, Stokley S.",HPV-Associated Cancers,Journal: JAMA Pediatrics (Volume: ; Issue: ; Pages:  - ),"Barriers to HPV vaccination among U.S. adolescents: a systematic review of the literature.|Holman DM|Benard V, Roland KB, Watson M, Liddon N, Stokley S.|JAMA Pediatrics|",http://www.ncbi.nlm.nih.gov/pubmed/24276343,167
Behavioral and community interventions to prevent skin cancer: what works?,"Glanz K, Halpern AC, Saraiya M.",Archives of Dermatology,2006,2006,,"Glanz K, Halpern AC, Saraiya M.",Skin Cancer,Journal: Archives of Dermatology (Volume: 142; Issue: 3; Pages: 356 - 360),"Behavioral and community interventions to prevent skin cancer: what works?|Glanz K|Halpern AC, Saraiya M.|Archives of Dermatology|142",http://www.ncbi.nlm.nih.gov/pubmed/16549713,168
Behaviors associated with ultraviolet radiation exposure in a cohort of adult survivors of childhood and adolescent cancer: a report from the Childhood Cancer Survivor Study,"Buchanan N, Leisenring W, Mitby PA, Meadows AT, Robison LL, Hudson MM, Mertens AC",Cancer,2009,2009,https://dx.doi.org/10.1002/cncr.24581,"Buchanan N, Leisenring W, Mitby PA, Meadows AT, Robison LL, Hudson MM, Mertens AC",Cancer Survivorship,Journal: Cancer (Volume: 115; Issue: S18; Pages: 437 - 384),"Behaviors associated with ultraviolet radiation exposure in a cohort of adult survivors of childhood and adolescent cancer: a report from the Childhood Cancer Survivor Study|Buchanan N|Leisenring W, Mitby PA, Meadows AT, Robison LL, Hudson MM, Mertens AC|Cancer|115",https://www.ncbi.nlm.nih.gov/pubmed/19731349,169
Beliefs associated with sunscreen use among non-Hispanic White older adults.,"Holman DM, Glanz K, Jordan A, Bleakley A, Dasari S",Journal of the Dermatology Nurses’ Association,2023,2022,https://dx.doi.org/10.1097/jdn.0000000000000682,"Holman DM, Glanz K, Jordan A, Bleakley A, Dasari S",Skin Cancer,Journal: Journal of the Dermatology Nurses’ Association (Volume: 24; Issue: 3; Pages: 107 - 112),"Beliefs associated with sunscreen use among non-Hispanic White older adults.|Holman DM|Glanz K, Jordan A, Bleakley A, Dasari S|Journal of the Dermatology Nurses’ Association|24",https://pubmed.ncbi.nlm.nih.gov/36483310/,170
"Beliefs, risk perceptions, and gaps in knowledge as barriers to colorectal cancer screening in older adults.","Berkowitz Z, Hawkins NA, Peipins LA, White MC, Nadel MR.",Journal of the American Geriatrics Society,2008,2008,,"Berkowitz Z, Hawkins NA, Peipins LA, White MC, Nadel MR.",Colorectal (Colon) Cancer,Journal: Journal of the American Geriatrics Society (Volume: 56; Issue: 2; Pages: 307 - 314),"Beliefs, risk perceptions, and gaps in knowledge as barriers to colorectal cancer screening in older adults.|Berkowitz Z|Hawkins NA, Peipins LA, White MC, Nadel MR.|Journal of the American Geriatrics Society|56",http://www.ncbi.nlm.nih.gov/pubmed/18070002,171
Benefit of screening mammography in reducing the rate of late-stage breast cancer diagnoses (United States).,"Norman SA, Localio AR, Zhou L, Weber AL, Coates RJ, Malone KE, Bernstein L, Marchbanks PA, Liff JM, Lee NC, Nadel MR.",Cancer Causes and Control,2006,2006,,"Norman SA, Localio AR, Zhou L, Weber AL, Coates RJ, Malone KE, Bernstein L, Marchbanks PA, Liff JM, Lee NC, Nadel MR.",Breast Cancer,Journal: Cancer Causes and Control (Volume: 17; Issue: 7; Pages: 921 - 929),"Benefit of screening mammography in reducing the rate of late-stage breast cancer diagnoses (United States).|Norman SA|Localio AR, Zhou L, Weber AL, Coates RJ, Malone KE, Bernstein L, Marchbanks PA, Liff JM, Lee NC, Nadel MR.|Cancer Causes and Control|17",http://www.ncbi.nlm.nih.gov/pubmed/16841259,172
Better data for decision-making through Bayesian imputation of suppressed provisional COVID-19 death counts.,"Kao S-YZ, Tutwiler MS, Ekwueme DU, Truman BI.",PLoS One,2023,2023,https://dx.doi.org/10.1371/journal.pone.0288961,"Kao S-YZ, Tutwiler MS, Ekwueme DU, Truman BI.",Other Research,Journal: PLoS One (Volume: 18; Issue: 8; Pages:  - ),"Better data for decision-making through Bayesian imputation of suppressed provisional COVID-19 death counts.|Kao S-YZ|Tutwiler MS, Ekwueme DU, Truman BI.|PLoS One|18",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10399909/,173
Bilateral oophorectomy prevalence among U.S. women.,"Adam EE, White MC, Townsend JS, Stewart SL.",Journal of Women's Health,2024,2024,https://dx.doi.org/10.1089/jwh.2023.1134,"Adam EE, White MC, Townsend JS, Stewart SL.",Gynecologic Cancers,Journal: Journal of Women's Health (Volume: ; Issue: ; Pages:  - ),"Bilateral oophorectomy prevalence among U.S. women.|Adam EE|White MC, Townsend JS, Stewart SL.|Journal of Women's Health|",https://pubmed.ncbi.nlm.nih.gov/39011627/,174
"Bilirubin UDP-glucuronosyltransferase 1A1 (UGT1A1) gene promoter polymorphisms and HPRT, glycophorin A, and micronuclei mutant frequencies in human blood.","Grant DJ, Hall IJ, Eastmond DA, Jones IM, Bell DA.",Mutation Research/Genetic Toxicology and Environmental Mutagenesis,2004,2004,,"Grant DJ, Hall IJ, Eastmond DA, Jones IM, Bell DA.",Health Disparities in Cancer,Journal: Mutation Research/Genetic Toxicology and Environmental Mutagenesis (Volume: 560; Issue: 1; Pages: 11 - 10),"Bilirubin UDP-glucuronosyltransferase 1A1 (UGT1A1) gene promoter polymorphisms and HPRT, glycophorin A, and micronuclei mutant frequencies in human blood.|Grant DJ|Hall IJ, Eastmond DA, Jones IM, Bell DA.|Mutation Research/Genetic Toxicology and Environmental Mutagenesis|560",http://www.ncbi.nlm.nih.gov/pubmed/15099818,175
Black-White differences in receipt and completion of adjuvant chemotherapy among breast cancer patients in a rural region of the U.S.,"Lipscomb J, Gillespie TW, Goodman M, Richardson LC, Pollack LA, Ryerson AB, Ward KC.",Breast Cancer Research and Treatment,2012,2012,https://dx.doi.org/10.1007/s10549-011-1916-1,"Lipscomb J, Gillespie TW, Goodman M, Richardson LC, Pollack LA, Ryerson AB, Ward KC.",Breast Cancer,Journal: Breast Cancer Research and Treatment (Volume: 133; Issue: 1; Pages: 285 - 296),"Black-White differences in receipt and completion of adjuvant chemotherapy among breast cancer patients in a rural region of the U.S.|Lipscomb J|Gillespie TW, Goodman M, Richardson LC, Pollack LA, Ryerson AB, Ward KC.|Breast Cancer Research and Treatment|133",http://www.ncbi.nlm.nih.gov/pubmed/22278190,176
Body mass and mortality after breast cancer diagnosis.,"Whiteman MK, Hillis SD, Curtis KM, McDonald JA, Wingo PA, Marchbanks PA.","Cancer Epidemiology, Biomarkers and Prevention",2005,2005,,"Whiteman MK, Hillis SD, Curtis KM, McDonald JA, Wingo PA, Marchbanks PA.",Breast Cancer,"Journal: Cancer Epidemiology, Biomarkers and Prevention (Volume: 14; Issue: 8; Pages: 200 - 014)","Body mass and mortality after breast cancer diagnosis.|Whiteman MK|Hillis SD, Curtis KM, McDonald JA, Wingo PA, Marchbanks PA.|Cancer Epidemiology, Biomarkers and Prevention|14",http://www.ncbi.nlm.nih.gov/pubmed/16103453,177
Bolivian health providers' attitudes toward alternative technologies for cervical cancer prevention: a focus on visual inspection with acetic acid and cryotherapy.,"Stormo AR, Altamirano VC, Pérez-Castells M, Espey D, Padilla H, Panameño K, Soria M, Santos C, Saraiya M, Luciani S.",Journal of Women's Health,2012,2012,https://dx.doi.org/10.1089/jwh.2012.3796,"Stormo AR, Altamirano VC, Pérez-Castells M, Espey D, Padilla H, Panameño K, Soria M, Santos C, Saraiya M, Luciani S.",Cervical Cancer,Journal: Journal of Women's Health (Volume: 21; Issue: 8; Pages: 801 - 808),"Bolivian health providers' attitudes toward alternative technologies for cervical cancer prevention: a focus on visual inspection with acetic acid and cryotherapy.|Stormo AR|Altamirano VC, Pérez-Castells M, Espey D, Padilla H, Panameño K, Soria M, Santos C, Saraiya M, Luciani S.|Journal of Women's Health|21",http://www.ncbi.nlm.nih.gov/pubmed/22816515,178
"BRCA genetic testing and receipt of preventive interventions among women aged 18–64 years with employer-sponsored health insurance in nonmetropolitan and metropolitan areas—United States, 2009–2014.","Kolor K, Chen Z, Grosse SD, Rodriguez JL, Green RF, Dotson WD, Bowen S, Lynch JA, Khoury MJ.",MMWR Surveillance Summaries,2017,2017,https://dx.doi.org/http://dx.doi.org/10.15585/mmwr.ss6615a1,"Kolor K, Chen Z, Grosse SD, Rodriguez JL, Green RF, Dotson WD, Bowen S, Lynch JA, Khoury MJ.",Breast Cancer,Journal: MMWR Surveillance Summaries (Volume: 66; Issue: No. SS-15; Pages: 11 - 11),"BRCA genetic testing and receipt of preventive interventions among women aged 18–64 years with employer-sponsored health insurance in nonmetropolitan and metropolitan areas—United States, 2009–2014.|Kolor K|Chen Z, Grosse SD, Rodriguez JL, Green RF, Dotson WD, Bowen S, Lynch JA, Khoury MJ.|MMWR Surveillance Summaries|66",https://www.cdc.gov/mmwr/volumes/66/ss/ss6615a1.htm,179
"Breast and cervical cancer carcinoma screening among women in rural and non-rural areas of the United States, 1998-1999.","Coughlin SS, Thompson TD, Hall HI, Logan P, Uhler RJ.",Cancer,2002,2002,,"Coughlin SS, Thompson TD, Hall HI, Logan P, Uhler RJ.",Breast Cancer,Journal: Cancer (Volume: 94; Issue: 11; Pages: 280 - 812),"Breast and cervical cancer carcinoma screening among women in rural and non-rural areas of the United States, 1998-1999.|Coughlin SS|Thompson TD, Hall HI, Logan P, Uhler RJ.|Cancer|94",http://www.ncbi.nlm.nih.gov/pubmed/12115366,180
"Breast and cervical cancer mortality in the Mississippi Delta, 1979–1998.","Hall HI, Jamison PM, Coughlin SS.",Southern Medical Journal,2004,2004,,"Hall HI, Jamison PM, Coughlin SS.",Breast Cancer,Journal: Southern Medical Journal (Volume: 97; Issue: 3; Pages: 264 - 272),"Breast and cervical cancer mortality in the Mississippi Delta, 1979–1998.|Hall HI|Jamison PM, Coughlin SS.|Southern Medical Journal|97",http://www.ncbi.nlm.nih.gov/pubmed/15043334,181
Breast and cervical cancer programs' success in maintaining screening during periods of high COVID-19: a qualitative multi-case study analysis.,"Schlueter D, Bermudez Y, Debrot KF, Ross LW, Masud M, Melillo S, Hannon PA, Miller JW.",Heliyon,2024,2024,https://dx.doi.org/10.1016/j.heliyon.2024.e29223,"Schlueter D, Bermudez Y, Debrot KF, Ross LW, Masud M, Melillo S, Hannon PA, Miller JW.",Breast Cancer,Journal: Heliyon (Volume: 10; Issue: 8; Pages:  - ),"Breast and cervical cancer programs' success in maintaining screening during periods of high COVID-19: a qualitative multi-case study analysis.|Schlueter D|Bermudez Y, Debrot KF, Ross LW, Masud M, Melillo S, Hannon PA, Miller JW.|Heliyon|10",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11033107/,182
Breast and cervical cancer screening among Appalachian women.,"Hall HI, Uhler RJ, Coughlin SS, Miller DS.","Cancer Epidemiology, Biomarkers and Prevention",2002,2002,,"Hall HI, Uhler RJ, Coughlin SS, Miller DS.",Breast Cancer,"Journal: Cancer Epidemiology, Biomarkers and Prevention (Volume: 11; Issue: 1; Pages: 137 - 142)","Breast and cervical cancer screening among Appalachian women.|Hall HI|Uhler RJ, Coughlin SS, Miller DS.|Cancer Epidemiology, Biomarkers and Prevention|11",http://www.ncbi.nlm.nih.gov/pubmed/11815412,183
"Breast and cervical cancer screening among Asian subgroups in the USA: estimates from the National Health Interview Survey, 2008, 2010, and 2013.","Shoemaker ML, White MC",Cancer Causes and Control,2016,2016,https://dx.doi.org/10.1007/s10552-016-0750-5,"Shoemaker ML, White MC",Breast Cancer,Journal: Cancer Causes and Control (Volume: ; Issue: ; Pages:  - ),"Breast and cervical cancer screening among Asian subgroups in the USA: estimates from the National Health Interview Survey, 2008, 2010, and 2013.|Shoemaker ML|White MC|Cancer Causes and Control|",http://www.ncbi.nlm.nih.gov/pubmed/27106576,184
"Breast and cervical cancer screening among Hispanic subgroups in the USA: estimates from the National Health Interview Survey 2008, 2010, and 2013.","Shoemaker ML, White MC",Cancer Causes and Control,2016,2016,https://dx.doi.org/10.1007/s10552-016-0718-5,"Shoemaker ML, White MC",Breast Cancer,Journal: Cancer Causes and Control (Volume: 27; Issue: 3; Pages: 453 - 457),"Breast and cervical cancer screening among Hispanic subgroups in the USA: estimates from the National Health Interview Survey 2008, 2010, and 2013.|Shoemaker ML|White MC|Cancer Causes and Control|27",http://www.ncbi.nlm.nih.gov/pubmed/26809510,185
"Breast and cervical cancer screening among Hispanic women in the United States and Puerto Rico, 1998-1999.","Coughlin SS, Uhler RJ.",Preventive Medicine,2002,2002,,"Coughlin SS, Uhler RJ.",Breast Cancer,Journal: Preventive Medicine (Volume: 34; Issue: 2; Pages: 242 - 251),"Breast and cervical cancer screening among Hispanic women in the United States and Puerto Rico, 1998-1999.|Coughlin SS|Uhler RJ.|Preventive Medicine|34",http://www.ncbi.nlm.nih.gov/pubmed/11817921,186
Breast and cervical cancer screening among migrant and seasonal farmworkers: a review.,"Coughlin SS, Wilson KM.",Cancer Detection and Prevention,2002,2002,,"Coughlin SS, Wilson KM.",Breast Cancer,Journal: Cancer Detection and Prevention (Volume: 26; Issue: 3; Pages: 203 - 209),Breast and cervical cancer screening among migrant and seasonal farmworkers: a review.|Coughlin SS|Wilson KM.|Cancer Detection and Prevention|26,http://www.ncbi.nlm.nih.gov/pubmed/12269767,188
Breast and cervical cancer screening among Mississippi Delta women.,"Hall HI, Jamison PM, Coughlin SS, Uhler RJ.",Journal of Health Care for the Poor and Underserved,2004,2004,,"Hall HI, Jamison PM, Coughlin SS, Uhler RJ.",Breast Cancer,Journal: Journal of Health Care for the Poor and Underserved (Volume: 15; Issue: 3; Pages: 375 - 389),"Breast and cervical cancer screening among Mississippi Delta women.|Hall HI|Jamison PM, Coughlin SS, Uhler RJ.|Journal of Health Care for the Poor and Underserved|15",http://www.ncbi.nlm.nih.gov/pubmed/15453176,189
"Breast and cervical cancer screening practices among Asian and Pacific Islander women in the United States, 1994-1997.","Coughlin SS, Uhler RJ.","Cancer Epidemiology, Biomarkers and Prevention",2000,2000,,"Coughlin SS, Uhler RJ.",Breast Cancer,"Journal: Cancer Epidemiology, Biomarkers and Prevention (Volume: 9; Issue: 6; Pages: 597 - 603)","Breast and cervical cancer screening practices among Asian and Pacific Islander women in the United States, 1994-1997.|Coughlin SS|Uhler RJ.|Cancer Epidemiology, Biomarkers and Prevention|9",http://www.ncbi.nlm.nih.gov/pubmed/10868695,190
"Breast and cervical cancer screening practices among Hispanic and non-Hispanic women residing near the United States-Mexico border, 1999-2000.","Coughlin SS, Uhler RJ, Richards T, Wilson K.",Family and Community Medicine,2003,2003,,"Coughlin SS, Uhler RJ, Richards T, Wilson K.",Breast Cancer,Journal: Family and Community Medicine (Volume: 26; Issue: 2; Pages: 130 - 139),"Breast and cervical cancer screening practices among Hispanic and non-Hispanic women residing near the United States-Mexico border, 1999-2000.|Coughlin SS|Uhler RJ, Richards T, Wilson K.|Family and Community Medicine|26",http://www.ncbi.nlm.nih.gov/pubmed/12802118,191
"Breast and cervical cancer screening practices among Hispanic women in the United States and Puerto Rico, 1998-1999.","Coughlin SS, Uhler RJ.",Preventive Medicine,2002,2002,,"Coughlin SS, Uhler RJ.",Breast Cancer,Journal: Preventive Medicine (Volume: 34; Issue: 2; Pages: 242 - 251),"Breast and cervical cancer screening practices among Hispanic women in the United States and Puerto Rico, 1998-1999.|Coughlin SS|Uhler RJ.|Preventive Medicine|34",http://www.ncbi.nlm.nih.gov/pubmed/11817921,192
Breast and cervical cancer screening rates of subgroups of Asian American women in California.,"Kagawa-Singer M, Pourat N, Breen N, Coughlin S, McLean TA, McNeel TS, Ponce NA.",Medical Care Research and Review,2008,2007,,"Kagawa-Singer M, Pourat N, Breen N, Coughlin S, McLean TA, McNeel TS, Ponce NA.",Breast Cancer,Journal: Medical Care Research and Review (Volume: 64; Issue: 6; Pages: 706 - 730),"Breast and cervical cancer screening rates of subgroups of Asian American women in California.|Kagawa-Singer M|Pourat N, Breen N, Coughlin S, McLean TA, McNeel TS, Ponce NA.|Medical Care Research and Review|64",http://www.ncbi.nlm.nih.gov/pubmed/17804823,193
Breast and cervical cancer screenings: a systematic economic review of patient navigation services.,"Chattopadhyay SK, Pillai A, Reynolds J, Jacob V, Ekwueme D, Peng Y, Cuellar AE; Community Preventive Services Task Force (CPSTF).",American Journal of Preventive Medicine,2024,2024,https://dx.doi.org/10.1016/j.amepre.2024.06.005,"Chattopadhyay SK, Pillai A, Reynolds J, Jacob V, Ekwueme D, Peng Y, Cuellar AE; Community Preventive Services Task Force (CPSTF).",Breast Cancer,Journal: American Journal of Preventive Medicine (Volume: ; Issue: ; Pages:  - ),"Breast and cervical cancer screenings: a systematic economic review of patient navigation services.|Chattopadhyay SK|Pillai A, Reynolds J, Jacob V, Ekwueme D, Peng Y, Cuellar AE; Community Preventive Services Task Force (CPSTF).|American Journal of Preventive Medicine|",https://pubmed.ncbi.nlm.nih.gov/38876292/,194
"Breast and cervical carcinoma mortality among women in the Appalachian region of the U.S., 1976-1996.","Hall HI, Rogers JD, Weir HK, Miller DS, Uhler RH.",Cancer,2001,2000,,"Hall HI, Rogers JD, Weir HK, Miller DS, Uhler RH.",Breast Cancer,Journal: Cancer (Volume: 89; Issue: 7; Pages: 159 - 602),"Breast and cervical carcinoma mortality among women in the Appalachian region of the U.S., 1976-1996.|Hall HI|Rogers JD, Weir HK, Miller DS, Uhler RH.|Cancer|89",http://www.ncbi.nlm.nih.gov/pubmed/11013376,195
"Breast and cervical carcinoma screening practices among women in rural and nonrural areas of the United States, 1998-1999.","Coughlin SS, Thompson TD, Hall HI, Logan P, Uhler RJ.",Cancer,2002,2002,,"Coughlin SS, Thompson TD, Hall HI, Logan P, Uhler RJ.",Breast Cancer,Journal: Cancer (Volume: 94; Issue: 11; Pages: 280 - 812),"Breast and cervical carcinoma screening practices among women in rural and nonrural areas of the United States, 1998-1999.|Coughlin SS|Thompson TD, Hall HI, Logan P, Uhler RJ.|Cancer|94",http://www.ncbi.nlm.nih.gov/pubmed/12115366,196
Breast and colorectal cancer recurrence and progression captured by five U.S. population-based registries: Findings from National Program of Cancer Registries patient-centered outcome research.,"Thompson TD, Pollack LA, Johnson CJ, Wu XC, Rees JR, Hsieh MC, Rycroft R, Culp M, Wilson R, Wu M, Zhang K, Benard V.",Cancer Epidemiology,2020,2020,https://dx.doi.org/10.1016/j.canep.2019.101653,"Thompson TD, Pollack LA, Johnson CJ, Wu XC, Rees JR, Hsieh MC, Rycroft R, Culp M, Wilson R, Wu M, Zhang K, Benard V.",Breast Cancer,Journal: Cancer Epidemiology (Volume: 6; Issue: 64; Pages: 101 - 653),"Breast and colorectal cancer recurrence and progression captured by five U.S. population-based registries: Findings from National Program of Cancer Registries patient-centered outcome research.|Thompson TD|Pollack LA, Johnson CJ, Wu XC, Rees JR, Hsieh MC, Rycroft R, Culp M, Wilson R, Wu M, Zhang K, Benard V.|Cancer Epidemiology|6",https://www.ncbi.nlm.nih.gov/pubmed/31918179,197
Breast and colorectal cancer recurrence-free survival estimates in the US: Modeling versus active data collection.,"Mariotto AB, Thompson TD, Johnson C, Wu XC, Pollack LA.",Cancer Epidemiology,2023,2023,https://dx.doi.org/10.1016/j.canep.2023.102370,"Mariotto AB, Thompson TD, Johnson C, Wu XC, Pollack LA.",Breast Cancer,Journal: Cancer Epidemiology (Volume: 85; Issue: ; Pages: 102 - 370),"Breast and colorectal cancer recurrence-free survival estimates in the US: Modeling versus active data collection.|Mariotto AB|Thompson TD, Johnson C, Wu XC, Pollack LA.|Cancer Epidemiology|85",https://pubmed.ncbi.nlm.nih.gov/37148828/,198
Breast and colorectal cancer screening and sources of cancer information among older women in the United States: results from the 2003 Health Information National Trends Survey.,"Coughlin SS, Berkowitz Z, Hawkins NA, Tangka F.",Preventing Chronic Disease,2007,2007,,"Coughlin SS, Berkowitz Z, Hawkins NA, Tangka F.",Breast Cancer,Journal: Preventing Chronic Disease (Volume: 4; Issue: 3; Pages:  - ),"Breast and colorectal cancer screening and sources of cancer information among older women in the United States: results from the 2003 Health Information National Trends Survey.|Coughlin SS|Berkowitz Z, Hawkins NA, Tangka F.|Preventing Chronic Disease|4",http://www.cdc.gov/pcd/issues/2007/jul/06_0104.htm,199
Breast cancer in young women: health state utility impacts by race/ethnicity.,"Trogdon JG, Ekwueme DU, Chamiec-Case L, Guy GP Jr.",American Journal of Preventive Medicine,2016,2016,https://dx.doi.org/10.1016/j.amepre.2015.09.026,"Trogdon JG, Ekwueme DU, Chamiec-Case L, Guy GP Jr.",Breast Cancer,Journal: American Journal of Preventive Medicine (Volume: 50; Issue: 2; Pages: 262 - 269),"Breast cancer in young women: health state utility impacts by race/ethnicity.|Trogdon JG|Ekwueme DU, Chamiec-Case L, Guy GP Jr.|American Journal of Preventive Medicine|50",http://www.ncbi.nlm.nih.gov/pubmed/26775905,200
"Breast cancer incidence among American Indian and Alaska Native women: U.S., 1999-2004.","Wingo PA, King J, Swan J, Coughlin SS, Kaur JS, Erb-Alvarez JA, Jackson-Thompson J, Arambula Solomon TG.",Cancer,2008,2008,,"Wingo PA, King J, Swan J, Coughlin SS, Kaur JS, Erb-Alvarez JA, Jackson-Thompson J, Arambula Solomon TG.",Breast Cancer,Journal: Cancer (Volume: 113; Issue: S5; Pages: 119 - 202),"Breast cancer incidence among American Indian and Alaska Native women: U.S., 1999-2004.|Wingo PA|King J, Swan J, Coughlin SS, Kaur JS, Erb-Alvarez JA, Jackson-Thompson J, Arambula Solomon TG.|Cancer|113",http://www.ncbi.nlm.nih.gov/pubmed/18720389,201
"Breast cancer incidence among Nebraska women: early- and late-stage trends, 1995–2009.","Yeoman K, Ryerson AB, Koziol N, Buss B, Safranek T.",Journal of Registry Management,2015,2014,,"Yeoman K, Ryerson AB, Koziol N, Buss B, Safranek T.",Breast Cancer,Journal: Journal of Registry Management (Volume: 41; Issue: 3; Pages: 154 - 157),"Breast cancer incidence among Nebraska women: early- and late-stage trends, 1995–2009.|Yeoman K|Ryerson AB, Koziol N, Buss B, Safranek T.|Journal of Registry Management|41",http://www.ncbi.nlm.nih.gov/pubmed/25419611,202
Breast cancer incidence and stage at diagnosis in the six US-Affiliated Pacific Islands.,"Gopalani SV, Qin J, Baksa J, Thompson TD, Senkomago V, Pordell P, Jeong Y, Reichhardt M, Palafox N, Buenconsejo-Lum L.",Cancer Epidemiology,2024,2024,https://dx.doi.org/10.1016/j.canep.2024.102611,"Gopalani SV, Qin J, Baksa J, Thompson TD, Senkomago V, Pordell P, Jeong Y, Reichhardt M, Palafox N, Buenconsejo-Lum L.",Breast Cancer,Journal: Cancer Epidemiology (Volume: ; Issue: ; Pages:  - ),"Breast cancer incidence and stage at diagnosis in the six US-Affiliated Pacific Islands.|Gopalani SV|Qin J, Baksa J, Thompson TD, Senkomago V, Pordell P, Jeong Y, Reichhardt M, Palafox N, Buenconsejo-Lum L.|Cancer Epidemiology|",https://pubmed.ncbi.nlm.nih.gov/38996557/,203
"Breast cancer mortality among American Indian and Alaska Native women, 1990–2009","White A, Richardson LC, Li C, Ekwueme DU, Kaur JS",American Journal of Public Health,2014,2014,https://dx.doi.org/10.2105/AJPH.2013.301720,"White A, Richardson LC, Li C, Ekwueme DU, Kaur JS",Breast Cancer,Journal: American Journal of Public Health (Volume: 104; Issue: ; Pages:  - ),"Breast cancer mortality among American Indian and Alaska Native women, 1990–2009|White A|Richardson LC, Li C, Ekwueme DU, Kaur JS|American Journal of Public Health|104",https://pubmed.ncbi.nlm.nih.gov/24754658/,204
Breast cancer patients receiving guideline-concordant adjuvant therapy regimens have better all-cause and disease-specific survival: new findings from rural Georgia.,"Lipscomb J, Guy GP, Gillespie T, Goodman M, Richardson LC, Ward KC.",Value in Health,2013,2013,https://dx.doi.org/10.1016/j.jval.2013.03.004,"Lipscomb J, Guy GP, Gillespie T, Goodman M, Richardson LC, Ward KC.",Breast Cancer,Journal: Value in Health (Volume: 16; Issue: 3; Pages:  - ),"Breast cancer patients receiving guideline-concordant adjuvant therapy regimens have better all-cause and disease-specific survival: new findings from rural Georgia.|Lipscomb J|Guy GP, Gillespie T, Goodman M, Richardson LC, Ward KC.|Value in Health|16",http://www.ncbi.nlm.nih.gov/pubmed/23693165,205
Breast cancer risk and provider recommendation for mammography among recently unscreened women in the United States.,"Sabatino SA, Burns RB, Davis RB, Phillips RS, McCarthy EP.",Journal of General Internal Medicine,2006,2006,,"Sabatino SA, Burns RB, Davis RB, Phillips RS, McCarthy EP.",Breast Cancer,Journal: Journal of General Internal Medicine (Volume: 21; Issue: 4; Pages: 285 - 291),"Breast cancer risk and provider recommendation for mammography among recently unscreened women in the United States.|Sabatino SA|Burns RB, Davis RB, Phillips RS, McCarthy EP.|Journal of General Internal Medicine|21",http://www.ncbi.nlm.nih.gov/pubmed/16686802,206
"Breast cancer risk assessment and management in primary care: Provider attitudes, practices, and barriers.","Sabatino SA, McCarthy EP, Phillips RS, Burns RB.",Cancer Detection and Prevention,2008,2007,,"Sabatino SA, McCarthy EP, Phillips RS, Burns RB.",Breast Cancer,Journal: Cancer Detection and Prevention (Volume: 31; Issue: 5; Pages: 375 - 383),"Breast cancer risk assessment and management in primary care: Provider attitudes, practices, and barriers.|Sabatino SA|McCarthy EP, Phillips RS, Burns RB.|Cancer Detection and Prevention|31",http://www.ncbi.nlm.nih.gov/pubmed/18037249,207
"Breast cancer screening among adult women—Behavioral Risk Factor Surveillance System, United States, 2010.","Miller JW, King JB, Joseph DA, Richardson LC.",MMWR,2012,2012,,"Miller JW, King JB, Joseph DA, Richardson LC.",Breast Cancer,Journal: MMWR (Volume: 61; Issue: 2; Pages: 46 - 50),"Breast cancer screening among adult women—Behavioral Risk Factor Surveillance System, United States, 2010.|Miller JW|King JB, Joseph DA, Richardson LC.|MMWR|61",http://www.cdc.gov/mmwr/preview/mmwrhtml/su6102a8.htm,208
