Table,Select Setting,Value type,Geography,Select Measure,Levels of Measure,Value,SE,Low 95% CI,High 95% CI,Footnote-Value cell,Footnote-Measure Subscript
3,Adult Day Services Center,Percent,Indiana,Dementia care,Specializes in dementia care and only serves users with dementia,,,,,*,
3,Adult Day Services Center,Percent,Indiana,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,,,,,*,
4,Adult Day Services Center,Number,Indiana,Number of users,Number of users,2091.2,185.5,1727.4,2455,,1
4,Adult Day Services Center,Percent,Indiana,Age,65 and over,56.4,5.6,45.4,67.4,,
4,Adult Day Services Center,Percent,Indiana,Age,Under 65,43.6,5.6,32.6,54.6,,
4,Adult Day Services Center,Percent,Indiana,Age,65-74,22.9,1.9,19.2,26.5,,
4,Adult Day Services Center,Percent,Indiana,Age,75-84,24.6,3.2,18.2,31,,
4,Adult Day Services Center,Percent,Indiana,Age,85 and over,8.9,1.6,5.7,12.1,,
4,Adult Day Services Center,Percent,Indiana,Sex,Male,44.7,2.6,39.6,49.8,,
4,Adult Day Services Center,Percent,Indiana,Sex,Female,55.3,2.6,50.2,60.4,,
4,Adult Day Services Center,Percent,Indiana,Ethnicity and race,Hispanic,2.5,0.3,1.9,3.1,,4
4,Adult Day Services Center,Percent,Indiana,Ethnicity and race,Non-Hispanic White,58.7,3.9,50.9,66.4,,4
4,Adult Day Services Center,Percent,Indiana,Ethnicity and race,Non-Hispanic Black,28.2,3.4,21.5,34.9,,4
4,Adult Day Services Center,Percent,Indiana,Ethnicity and race,Non-Hispanic Other,10.6,3.3,4.1,17.2,,4
4,Adult Day Services Center,Percent,Indiana,Medicaid as payer source,Medicaid as payer source,68.5,5.6,57.5,79.4,^,
4,Adult Day Services Center,Percent,Indiana,Diagnosis,Alzheimer disease or other dementias,38.9,4.8,29.4,48.4,,
4,Adult Day Services Center,Percent,Indiana,Diagnosis,Arthritis,29.3,2.9,23.5,35.1,,
4,Adult Day Services Center,Percent,Indiana,Diagnosis,Asthma,11.2,3,5.4,17,,
4,Adult Day Services Center,Percent,Indiana,Diagnosis,Chronic kidney disease,9,2.4,4.3,13.7,,
4,Adult Day Services Center,Percent,Indiana,Diagnosis,Chronic obstructive pulmonary disease,20,5.9,8.4,31.7,,
4,Adult Day Services Center,Percent,Indiana,Diagnosis,Depression,22,2.5,17,27,,
4,Adult Day Services Center,Percent,Indiana,Diagnosis,Diabetes,21.5,5.5,10.8,32.3,,
4,Adult Day Services Center,Percent,Indiana,Diagnosis,Heart disease,24.2,4.7,15,33.4,,
4,Adult Day Services Center,Percent,Indiana,Diagnosis,High blood pressure/hypertension,27.8,4.2,19.7,36,,
4,Adult Day Services Center,Percent,Indiana,Diagnosis,Osteoporosis,20.8,5.1,10.8,30.9,,
4,Adult Day Services Center,Percent,Indiana,Needs assistance in physical functioning,Bathing,38.9,3.8,31.3,46.4,^,
4,Adult Day Services Center,Percent,Indiana,Needs assistance in physical functioning,Dressing,34.5,3.4,27.8,41.2,^,
4,Adult Day Services Center,Percent,Indiana,Needs assistance in physical functioning,Toileting,30.7,3.1,24.5,36.8,^,
4,Adult Day Services Center,Percent,Indiana,Needs assistance in physical functioning,Walking or locomotion,36.8,4.2,28.6,44.9,^,
4,Adult Day Services Center,Percent,Indiana,Needs assistance in physical functioning,Transferring in and out of a chair/bed,25.6,2.7,20.3,30.8,^,
4,Adult Day Services Center,Percent,Indiana,Needs assistance in physical functioning,Eating,31,4.4,22.3,39.6,^,
4,Adult Day Services Center,Percent,Indiana,Adverse Event,Overnight hospital stay,5.4,1.2,3.1,7.7,^,2
4,Adult Day Services Center,Percent,Indiana,Adverse Event,Emergency department visit,8.1,1.4,5.4,10.8,^,2
4,Adult Day Services Center,Percent,Indiana,Adverse Event,Fall,8.6,1.8,5,12.2,^,2
1,Adult Day Services Center,Number,Iowa,Number of people served,Annual average,,,,,---,2
1,Residential Care Community,Number,Iowa,Number of people served,Annual average,,,,,---,2
1,Residential Care Community,Number,Iowa,Number of providers,Number of providers,234.4,4.5,225.5,243.3,,
1,Residential Care Community,Number,Iowa,Capacity,Total licensed maximum capacity or total number of beds,12528.5,646.2,11261.6,13795.4,,1
1,Residential Care Community,Number,Iowa,Capacity,Average licensed maximum capacity or average number of beds,53.5,2.4,48.8,58.1,,1
1,Residential Care Community,Number,Iowa,Number of people served,Daily average,31.7,1.4,28.9,34.5,,2
1,Residential Care Community,Percent,Iowa,Number of people served,Category 1,41.4,4.2,33.4,49.9,,3
1,Residential Care Community,Percent,Iowa,Number of people served,Category 2,58.6,4.2,50.1,66.6,,3
1,Residential Care Community,Percent,Iowa,Number of people served,Category 3,,,,,-,3
1,Residential Care Community,Percent,Iowa,US Census region,Northeast,,,,,...,
1,Residential Care Community,Percent,Iowa,US Census region,Midwest,100,0,,,,
1,Residential Care Community,Percent,Iowa,US Census region,South,,,,,...,
1,Residential Care Community,Percent,Iowa,US Census region,West,,,,,...,
1,Residential Care Community,Percent,Iowa,Metropolitan statistical area status,Metropolitan,47.4,4.7,38.4,56.6,,
1,Residential Care Community,Percent,Iowa,Metropolitan statistical area status,Micropolitan,22.2,4.2,15.1,31.4,,
1,Residential Care Community,Percent,Iowa,Metropolitan statistical area status,Neither,30.3,3.9,23.2,38.5,,
1,Residential Care Community,Percent,Iowa,Ownership,For-profit,,,,,*,
1,Residential Care Community,Percent,Iowa,Ownership,Nonprofit,,,,,*,
1,Residential Care Community,Percent,Iowa,Ownership,Government and other,,,,,*,
1,Residential Care Community,Percent,Iowa,Certification,Medicare,,,,,---,
1,Residential Care Community,Percent,Iowa,Certification,Medicaid,67.7,4.4,58.5,75.8,,
1,Residential Care Community,Percent,Iowa,Chain affiliated,Chain affiliated,64.1,4.5,54.9,72.5,,
2,Residential Care Community,Number,Iowa,Total number of nursing and social work FTE employees,Total number of nursing and social work FTE employees,3223.6,247.9,2737.6,3709.5,^,
2,Residential Care Community,Ratio,Iowa,Ratio of employee type/Total number nursing and social work FTE employees,Registered nurse,23.2,3.4,16.6,29.8,^,
2,Residential Care Community,Ratio,Iowa,Ratio of employee type/Total number nursing and social work FTE employees,LPN/LVN,,,,,* ^,
2,Residential Care Community,Ratio,Iowa,Ratio of employee type/Total number nursing and social work FTE employees,Aide,67.6,3.7,60.3,75,^,
2,Residential Care Community,Ratio,Iowa,Ratio of employee type/Total number nursing and social work FTE employees,Social Worker,0.8,0.2,0.5,1.2,^,
2,Residential Care Community,Percent,Iowa,Any employee FTE,Registered nurse,81.9,3.2,74.7,87.4,^^,
2,Residential Care Community,Percent,Iowa,Any employee FTE,LPN/LVN,41.9,4.7,33,51.4,^^,
2,Residential Care Community,Percent,Iowa,Any employee FTE,Aide,,,,,* ^,
2,Residential Care Community,Percent,Iowa,Any employee FTE,Social Worker,13.1,2.7,8.6,19.4,^^,
2,Residential Care Community,Percent,Iowa,Any employee FTE,Activities director,71,4.1,62.2,78.5,^^,
2,Residential Care Community,Ratio,Iowa,Employee FTE hours per user per day,Registered nurse,1,0.1,0.7,1.3,^,
2,Residential Care Community,Ratio,Iowa,Employee FTE hours per user per day,LPN/LVN,0.5,0.1,0.3,0.7,^,
2,Residential Care Community,Ratio,Iowa,Employee FTE hours per user per day,Aide,3.2,0.2,2.8,3.5,^,
2,Residential Care Community,Ratio,Iowa,Employee FTE hours per user per day,Social Worker,0.1,0,0,0.1,^,
2,Residential Care Community,Ratio,Iowa,Employee FTE hours per user per day,Activities director,0.3,0,0.2,0.4,^,
3,Residential Care Community,Percent,Iowa,Services provided,Social work,50.5,4.7,41.4,59.6,,
3,Residential Care Community,Percent,Iowa,Services provided,Mental health or counseling,51.7,4.7,42.6,60.8,,
3,Residential Care Community,Percent,Iowa,Services provided,"Physical, occupational, or speech therapy",89.4,2.5,83.4,93.4,,
3,Residential Care Community,Percent,Iowa,Services provided,Skilled nursing,55.6,4.7,46.2,64.5,,
3,Residential Care Community,Percent,Iowa,Services provided,Pharmaceutical,95.1,1.5,91.1,97.3,,
3,Residential Care Community,Percent,Iowa,Services provided,Hospice,79,3.4,71.6,84.9,,
3,Residential Care Community,Percent,Iowa,Services provided,Dietary and nutritional,89,2.9,82,93.5,,
3,Residential Care Community,Percent,Iowa,Dementia care,Specializes in dementia care and only serves users with dementia,,,,,*,
3,Residential Care Community,Percent,Iowa,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,38.9,4.5,30.4,48.1,^^,
4,Residential Care Community,Number,Iowa,Number of users,Number of users,7429.8,383.6,6677.7,8181.9,,1
4,Residential Care Community,Percent,Iowa,Age,65 and over,98,0.4,97.2,98.7,,
4,Residential Care Community,Percent,Iowa,Age,Under 65,2,0.4,1.3,2.8,,
4,Residential Care Community,Percent,Iowa,Age,65-74,8.7,1.2,6.4,11,,
4,Residential Care Community,Percent,Iowa,Age,75-84,29.9,1.5,27,32.8,,
4,Residential Care Community,Percent,Iowa,Age,85 and over,59.4,2,55.4,63.4,,
4,Residential Care Community,Percent,Iowa,Sex,Male,26.6,1.3,24.2,29.1,,
4,Residential Care Community,Percent,Iowa,Sex,Female,73.4,1.3,70.9,75.8,,
4,Residential Care Community,Percent,Iowa,Ethnicity and race,Hispanic,,,,,*,4
4,Residential Care Community,Percent,Iowa,Ethnicity and race,Non-Hispanic White,98.8,0.4,97.9,99.6,,4
4,Residential Care Community,Percent,Iowa,Ethnicity and race,Non-Hispanic Black,,,,,*,4
4,Residential Care Community,Percent,Iowa,Ethnicity and race,Non-Hispanic Other,,,,,*,4
4,Residential Care Community,Percent,Iowa,Medicaid as payer source,Medicaid as payer source,10.7,1.9,6.8,14.5,,
4,Residential Care Community,Percent,Iowa,Diagnosis,Alzheimer disease or other dementias,35.2,2.8,29.7,40.8,^,"2,3"
4,Residential Care Community,Percent,Iowa,Diagnosis,Arthritis,40.1,3.6,33,47.2,^,"2,3"
4,Residential Care Community,Percent,Iowa,Diagnosis,Asthma,5.1,1,3.3,7,^,"2,3"
4,Residential Care Community,Percent,Iowa,Diagnosis,Chronic kidney disease,12,1.6,8.8,15.1,^,"2,3"
4,Residential Care Community,Percent,Iowa,Diagnosis,Chronic obstructive pulmonary disease,11.4,1.1,9.2,13.6,^,"2,3"
4,Residential Care Community,Percent,Iowa,Diagnosis,Depression,27,2.3,22.5,31.6,^,"2,3"
4,Residential Care Community,Percent,Iowa,Diagnosis,Diabetes,16,1.3,13.4,18.6,^,"2,3"
4,Residential Care Community,Percent,Iowa,Diagnosis,Heart disease,33.9,2.4,29.3,38.5,^,"2,3"
4,Residential Care Community,Percent,Iowa,Diagnosis,High blood pressure/hypertension,54.1,3.3,47.6,60.6,^,"2,3"
4,Residential Care Community,Percent,Iowa,Diagnosis,Osteoporosis,17.2,1.9,13.4,20.9,^,"2,3"
4,Residential Care Community,Percent,Iowa,Needs assistance in physical functioning,Bathing,59.3,3.2,53.1,65.6,^,
4,Residential Care Community,Percent,Iowa,Needs assistance in physical functioning,Dressing,41.3,3.5,34.4,48.3,^,
4,Residential Care Community,Percent,Iowa,Needs assistance in physical functioning,Toileting,25.9,3.5,19.1,32.8,^,
4,Residential Care Community,Percent,Iowa,Needs assistance in physical functioning,Walking or locomotion,42.9,4.6,33.8,51.9,^,
4,Residential Care Community,Percent,Iowa,Needs assistance in physical functioning,Transferring in and out of a chair/bed,16,3.2,9.7,22.4,^,
4,Residential Care Community,Percent,Iowa,Needs assistance in physical functioning,Eating,12.3,2.5,7.3,17.3,^,
4,Residential Care Community,Percent,Iowa,Adverse Event,Overnight hospital stay,6.4,0.8,4.9,7.9,^,2
4,Residential Care Community,Percent,Iowa,Adverse Event,Emergency department visit,10,0.9,8.2,11.8,^,2
4,Residential Care Community,Percent,Iowa,Adverse Event,Fall,21.3,1.8,17.9,24.8,^,2
1,Adult Day Services Center,Number,Iowa,Number of providers,Number of providers,23.7,0,23.7,23.7,,
1,Adult Day Services Center,Number,Iowa,Capacity,Total licensed maximum capacity or total number of beds,1104.3,97.2,913.7,1294.9,,1
1,Adult Day Services Center,Number,Iowa,Capacity,Average licensed maximum capacity or average number of beds,46.7,4.1,38.6,54.7,,1
1,Adult Day Services Center,Number,Iowa,Number of people served,Daily average,18.7,1.7,15.4,22.1,,2
1,Adult Day Services Center,Percent,Iowa,Number of people served,Category 1,,,,,*,3
1,Adult Day Services Center,Percent,Iowa,Number of people served,Category 2,,,,,*,3
1,Adult Day Services Center,Percent,Iowa,Number of people served,Category 3,,,,,*,3
1,Adult Day Services Center,Percent,Iowa,US Census region,Northeast,,,,,...,
1,Adult Day Services Center,Percent,Iowa,US Census region,Midwest,100,0,,,,
1,Adult Day Services Center,Percent,Iowa,US Census region,South,,,,,...,
1,Adult Day Services Center,Percent,Iowa,US Census region,West,,,,,...,
1,Adult Day Services Center,Percent,Iowa,Metropolitan statistical area status,Metropolitan,,,,,*,
1,Adult Day Services Center,Percent,Iowa,Metropolitan statistical area status,Micropolitan,,,,,*,
1,Adult Day Services Center,Percent,Iowa,Metropolitan statistical area status,Neither,,,,,*,
1,Adult Day Services Center,Percent,Iowa,Ownership,For-profit,,,,,*,
1,Adult Day Services Center,Percent,Iowa,Ownership,Nonprofit,,,,,*,
1,Adult Day Services Center,Percent,Iowa,Ownership,Government and other,,,,,*,
1,Adult Day Services Center,Percent,Iowa,Certification,Medicare,,,,,---,
1,Adult Day Services Center,Percent,Iowa,Certification,Medicaid,,,,,*,
1,Adult Day Services Center,Percent,Iowa,Chain affiliated,Chain affiliated,,,,,*,
2,Adult Day Services Center,Number,Iowa,Total number of nursing and social work FTE employees,Total number of nursing and social work FTE employees,70.1,8.5,53.4,86.8,^,
2,Adult Day Services Center,Ratio,Iowa,Ratio of employee type/Total number nursing and social work FTE employees,Registered nurse,29.7,8.2,13.6,45.7,^,
2,Adult Day Services Center,Ratio,Iowa,Ratio of employee type/Total number nursing and social work FTE employees,LPN/LVN,4.5,1.4,1.7,7.3,^,
2,Adult Day Services Center,Ratio,Iowa,Ratio of employee type/Total number nursing and social work FTE employees,Aide,58.7,8.9,41.3,76.2,^,
2,Adult Day Services Center,Ratio,Iowa,Ratio of employee type/Total number nursing and social work FTE employees,Social Worker,7.1,2,3.2,11.1,^,
2,Adult Day Services Center,Percent,Iowa,Any employee FTE,Registered nurse,,,,,*,
2,Adult Day Services Center,Percent,Iowa,Any employee FTE,LPN/LVN,,,,,*,
2,Adult Day Services Center,Percent,Iowa,Any employee FTE,Aide,,,,,* ^^,
2,Adult Day Services Center,Percent,Iowa,Any employee FTE,Social Worker,,,,,*,
2,Adult Day Services Center,Percent,Iowa,Any employee FTE,Activities director,,,,,*,
2,Adult Day Services Center,Ratio,Iowa,Employee FTE hours per user per day,Registered nurse,0.3,0,0.2,0.3,^,
2,Adult Day Services Center,Ratio,Iowa,Employee FTE hours per user per day,LPN/LVN,0,,,,^,
2,Adult Day Services Center,Ratio,Iowa,Employee FTE hours per user per day,Aide,0.9,0.2,0.6,1.2,^,
2,Adult Day Services Center,Ratio,Iowa,Employee FTE hours per user per day,Social Worker,0.1,0,0,0.2,^,
2,Adult Day Services Center,Ratio,Iowa,Employee FTE hours per user per day,Activities director,1.1,0.1,0.9,1.3,^,
3,Adult Day Services Center,Percent,Iowa,Services provided,Social work,,,,,*,
3,Adult Day Services Center,Percent,Iowa,Services provided,Mental health or counseling,,,,,*,
3,Adult Day Services Center,Percent,Iowa,Services provided,"Physical, occupational, or speech therapy",,,,,*,
3,Adult Day Services Center,Percent,Iowa,Services provided,Skilled nursing,,,,,* ^^,
3,Adult Day Services Center,Percent,Iowa,Services provided,Pharmaceutical,,,,,* ^^,
3,Adult Day Services Center,Percent,Iowa,Services provided,Hospice,,,,,*,
3,Adult Day Services Center,Percent,Iowa,Services provided,Dietary and nutritional,,,,,* ^^,
3,Adult Day Services Center,Percent,Iowa,Dementia care,Specializes in dementia care and only serves users with dementia,,,,,-^^,
3,Adult Day Services Center,Percent,Iowa,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,,,,,*,
4,Adult Day Services Center,Number,Iowa,Number of users,Number of users,863.7,77.5,711.7,1015.7,,1
4,Adult Day Services Center,Percent,Iowa,Age,65 and over,52.9,5.1,42.9,62.9,,
4,Adult Day Services Center,Percent,Iowa,Age,Under 65,47.1,5.1,37.1,57.1,,
4,Adult Day Services Center,Percent,Iowa,Age,65-74,23.5,1.8,20,27.1,,
4,Adult Day Services Center,Percent,Iowa,Age,75-84,19.8,2.5,14.9,24.7,,
4,Adult Day Services Center,Percent,Iowa,Age,85 and over,9.5,1.8,6,13,,
4,Adult Day Services Center,Percent,Iowa,Sex,Male,47.4,2.2,43,51.7,,
4,Adult Day Services Center,Percent,Iowa,Sex,Female,52.6,2.2,48.3,57,,
4,Adult Day Services Center,Percent,Iowa,Ethnicity and race,Hispanic,4.3,0.8,2.8,5.8,,4
4,Adult Day Services Center,Percent,Iowa,Ethnicity and race,Non-Hispanic White,85.6,4,77.7,93.5,,4
4,Adult Day Services Center,Percent,Iowa,Ethnicity and race,Non-Hispanic Black,2.8,0.5,1.8,3.9,,4
4,Adult Day Services Center,Percent,Iowa,Ethnicity and race,Non-Hispanic Other,7.3,3.3,0.7,13.8,,4
4,Adult Day Services Center,Percent,Iowa,Medicaid as payer source,Medicaid as payer source,60.8,6,49.1,72.5,^,
4,Adult Day Services Center,Percent,Iowa,Diagnosis,Alzheimer disease or other dementias,23.1,4.1,15,31.1,^,"2,3"
4,Adult Day Services Center,Percent,Iowa,Diagnosis,Arthritis,26.8,3.3,20.3,33.4,^,"2,3"
4,Adult Day Services Center,Percent,Iowa,Diagnosis,Asthma,3.4,0.6,2.3,4.5,^,"2,3"
4,Adult Day Services Center,Percent,Iowa,Diagnosis,Chronic kidney disease,4.8,1.9,1.2,8.5,^,"2,3"
4,Adult Day Services Center,Percent,Iowa,Diagnosis,Chronic obstructive pulmonary disease,7.3,1.6,4.1,10.5,^,"2,3"
4,Adult Day Services Center,Percent,Iowa,Diagnosis,Depression,37.5,5.2,27.2,47.7,^,"2,3"
4,Adult Day Services Center,Percent,Iowa,Diagnosis,Diabetes,13.7,1.4,10.9,16.5,^,"2,3"
4,Adult Day Services Center,Percent,Iowa,Diagnosis,Heart disease,20.1,2.8,14.7,25.6,^,"2,3"
4,Adult Day Services Center,Percent,Iowa,Diagnosis,High blood pressure/hypertension,33,4.3,24.6,41.4,^,"2,3"
4,Adult Day Services Center,Percent,Iowa,Diagnosis,Osteoporosis,14.2,3,8.2,20.1,^,"2,3"
4,Adult Day Services Center,Percent,Iowa,Needs assistance in physical functioning,Bathing,30.6,4.2,22.2,38.9,^,
4,Adult Day Services Center,Percent,Iowa,Needs assistance in physical functioning,Dressing,28.9,3.8,21.5,36.3,^,
4,Adult Day Services Center,Percent,Iowa,Needs assistance in physical functioning,Toileting,36.1,3.6,29,43.2,^,
4,Adult Day Services Center,Percent,Iowa,Needs assistance in physical functioning,Walking or locomotion,42.2,3.4,35.5,48.8,^,
4,Adult Day Services Center,Percent,Iowa,Needs assistance in physical functioning,Transferring in and out of a chair/bed,18.6,2.9,12.8,24.3,^,
4,Adult Day Services Center,Percent,Iowa,Needs assistance in physical functioning,Eating,23.1,2.9,17.5,28.8,^,
4,Adult Day Services Center,Percent,Iowa,Adverse Event,Overnight hospital stay,2,0.5,1.1,2.9,^,2
4,Adult Day Services Center,Percent,Iowa,Adverse Event,Emergency department visit,3,0.6,1.9,4.1,^,2
4,Adult Day Services Center,Percent,Iowa,Adverse Event,Fall,8.7,1.7,5.4,12.1,^,2
1,Adult Day Services Center,Number,Kansas,Number of people served,Annual average,,,,,---,2
1,Residential Care Community,Number,Kansas,Number of people served,Annual average,,,,,---,2
1,Residential Care Community,Number,Kansas,Number of providers,Number of providers,460.7,9.3,442.5,479,,
1,Residential Care Community,Number,Kansas,Capacity,Total licensed maximum capacity or total number of beds,16430.7,973.1,14523,18338.4,,1
1,Residential Care Community,Number,Kansas,Capacity,Average licensed maximum capacity or average number of beds,35.7,2.2,31.3,40,,1
1,Residential Care Community,Number,Kansas,Number of people served,Daily average,26.6,2.9,21,32.2,,2
1,Residential Care Community,Percent,Kansas,Number of people served,Category 1,,,,,*,3
1,Residential Care Community,Percent,Kansas,Number of people served,Category 2,,,,,*,3
1,Residential Care Community,Percent,Kansas,Number of people served,Category 3,,,,,*,3
1,Residential Care Community,Percent,Kansas,US Census region,Northeast,,,,,...,
1,Residential Care Community,Percent,Kansas,US Census region,Midwest,100,0,,,,
1,Residential Care Community,Percent,Kansas,US Census region,South,,,,,...,
1,Residential Care Community,Percent,Kansas,US Census region,West,,,,,...,
1,Residential Care Community,Percent,Kansas,Metropolitan statistical area status,Metropolitan,62.3,5.1,52,71.6,,
1,Residential Care Community,Percent,Kansas,Metropolitan statistical area status,Micropolitan,18.6,4.5,11.3,28.9,,
1,Residential Care Community,Percent,Kansas,Metropolitan statistical area status,Neither,19.1,3.9,12.7,27.8,,
1,Residential Care Community,Percent,Kansas,Ownership,For-profit,,,,,*,
1,Residential Care Community,Percent,Kansas,Ownership,Nonprofit,,,,,*,
1,Residential Care Community,Percent,Kansas,Ownership,Government and other,,,,,*,
1,Residential Care Community,Percent,Kansas,Certification,Medicare,,,,,---,
1,Residential Care Community,Percent,Kansas,Certification,Medicaid,73.6,4.7,63.5,81.7,,
1,Residential Care Community,Percent,Kansas,Chain affiliated,Chain affiliated,66.4,5.1,55.8,75.6,,
2,Residential Care Community,Number,Kansas,Total number of nursing and social work FTE employees,Total number of nursing and social work FTE employees,5867.5,508.1,4871.3,6863.7,^,
2,Residential Care Community,Ratio,Kansas,Ratio of employee type/Total number nursing and social work FTE employees,Registered nurse,10.5,2,6.5,14.5,^,
2,Residential Care Community,Ratio,Kansas,Ratio of employee type/Total number nursing and social work FTE employees,LPN/LVN,17.8,2.4,13.1,22.6,^,
2,Residential Care Community,Ratio,Kansas,Ratio of employee type/Total number nursing and social work FTE employees,Aide,71.3,2.8,65.9,76.7,^,
2,Residential Care Community,Ratio,Kansas,Ratio of employee type/Total number nursing and social work FTE employees,Social Worker,,,,,* ^,
2,Residential Care Community,Percent,Kansas,Any employee FTE,Registered nurse,58.1,5,47.8,67.7,^^,
2,Residential Care Community,Percent,Kansas,Any employee FTE,LPN/LVN,76.7,4.6,66.4,84.6,^^,
2,Residential Care Community,Percent,Kansas,Any employee FTE,Aide,,,,,*,
2,Residential Care Community,Percent,Kansas,Any employee FTE,Social Worker,,,,,* ^^,
2,Residential Care Community,Percent,Kansas,Any employee FTE,Activities director,50.8,5.5,40,61.5,^^,
2,Residential Care Community,Ratio,Kansas,Employee FTE hours per user per day,Registered nurse,0.9,0.2,0.5,1.3,^,
2,Residential Care Community,Ratio,Kansas,Employee FTE hours per user per day,LPN/LVN,1,0.1,0.8,1.2,^,
2,Residential Care Community,Ratio,Kansas,Employee FTE hours per user per day,Aide,4.9,0.4,4.2,5.7,^,
2,Residential Care Community,Ratio,Kansas,Employee FTE hours per user per day,Social Worker,,,,,* ^,
2,Residential Care Community,Ratio,Kansas,Employee FTE hours per user per day,Activities director,0.3,0.1,0.2,0.5,^,
3,Residential Care Community,Percent,Kansas,Services provided,Social work,49.6,5.5,39,60.2,,
3,Residential Care Community,Percent,Kansas,Services provided,Mental health or counseling,70.9,5,60.3,79.7,,
3,Residential Care Community,Percent,Kansas,Services provided,"Physical, occupational, or speech therapy",88.3,3.5,79.4,93.6,,
3,Residential Care Community,Percent,Kansas,Services provided,Skilled nursing,76.6,4.6,66.5,84.4,,
3,Residential Care Community,Percent,Kansas,Services provided,Pharmaceutical,92.9,2.9,84.6,96.9,,
3,Residential Care Community,Percent,Kansas,Services provided,Hospice,83.2,4.2,73.4,89.8,,
3,Residential Care Community,Percent,Kansas,Services provided,Dietary and nutritional,,,,,*,
3,Residential Care Community,Percent,Kansas,Dementia care,Specializes in dementia care and only serves users with dementia,,,,,*,
3,Residential Care Community,Percent,Kansas,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,14.6,3.9,8.5,23.9,,
4,Residential Care Community,Number,Kansas,Number of users,Number of users,12246.8,1294.7,9708.5,14785.1,,1
4,Residential Care Community,Percent,Kansas,Age,65 and over,96.8,0.9,95.1,98.5,,
4,Residential Care Community,Percent,Kansas,Age,Under 65,3.2,0.9,1.5,4.9,,
4,Residential Care Community,Percent,Kansas,Age,65-74,12.8,1.5,10,15.7,,
4,Residential Care Community,Percent,Kansas,Age,75-84,30.7,1.9,26.9,34.5,,
4,Residential Care Community,Percent,Kansas,Age,85 and over,53.3,2.8,47.8,58.8,,
4,Residential Care Community,Percent,Kansas,Sex,Male,26.8,1.3,24.3,29.4,,
4,Residential Care Community,Percent,Kansas,Sex,Female,73.2,1.3,70.6,75.7,,
4,Residential Care Community,Percent,Kansas,Ethnicity and race,Hispanic,2.2,0.6,0.9,3.4,,4
4,Residential Care Community,Percent,Kansas,Ethnicity and race,Non-Hispanic White,90.7,2.7,85.4,95.9,,4
4,Residential Care Community,Percent,Kansas,Ethnicity and race,Non-Hispanic Black,,,,,*,4
4,Residential Care Community,Percent,Kansas,Ethnicity and race,Non-Hispanic Other,0.7,0.2,0.4,1.1,,4
4,Residential Care Community,Percent,Kansas,Medicaid as payer source,Medicaid as payer source,27.9,4.3,19.4,36.4,,
4,Residential Care Community,Percent,Kansas,Diagnosis,Alzheimer disease or other dementias,40.7,3.9,33.1,48.3,^,"2,3"
4,Residential Care Community,Percent,Kansas,Diagnosis,Arthritis,38.4,4.5,29.6,47.3,^,"2,3"
4,Residential Care Community,Percent,Kansas,Diagnosis,Asthma,7,1.1,4.9,9.2,^,"2,3"
4,Residential Care Community,Percent,Kansas,Diagnosis,Chronic kidney disease,13.1,1.8,9.5,16.7,^,"2,3"
4,Residential Care Community,Percent,Kansas,Diagnosis,Chronic obstructive pulmonary disease,14.2,1.3,11.6,16.8,^,"2,3"
4,Residential Care Community,Percent,Kansas,Diagnosis,Depression,40.2,3.5,33.3,47,^,"2,3"
4,Residential Care Community,Percent,Kansas,Diagnosis,Diabetes,18.8,1.8,15.4,22.2,^,"2,3"
4,Residential Care Community,Percent,Kansas,Diagnosis,Heart disease,35.3,3.3,28.9,41.7,^,"2,3"
4,Residential Care Community,Percent,Kansas,Diagnosis,High blood pressure/hypertension,55,4,47.1,62.9,^,"2,3"
4,Residential Care Community,Percent,Kansas,Diagnosis,Osteoporosis,15.6,2,11.7,19.5,^,"2,3"
4,Residential Care Community,Percent,Kansas,Needs assistance in physical functioning,Bathing,68.1,3.4,61.6,74.7,^,
4,Residential Care Community,Percent,Kansas,Needs assistance in physical functioning,Dressing,45.3,2.9,39.7,50.9,^,
4,Residential Care Community,Percent,Kansas,Needs assistance in physical functioning,Toileting,38,3.2,31.8,44.2,^,
4,Residential Care Community,Percent,Kansas,Needs assistance in physical functioning,Walking or locomotion,57.7,4.3,49.2,66.2,^,
4,Residential Care Community,Percent,Kansas,Needs assistance in physical functioning,Transferring in and out of a chair/bed,32.5,3.1,26.5,38.6,^,
4,Residential Care Community,Percent,Kansas,Needs assistance in physical functioning,Eating,23.4,2.7,18.1,28.8,^,
4,Residential Care Community,Percent,Kansas,Adverse Event,Overnight hospital stay,6.7,0.8,5.1,8.4,^,2
4,Residential Care Community,Percent,Kansas,Adverse Event,Emergency department visit,12.7,1,10.7,14.7,^,2
4,Residential Care Community,Percent,Kansas,Adverse Event,Fall,28.1,2.8,22.6,33.6,^,2
1,Adult Day Services Center,Number,Kansas,Number of providers,Number of providers,10.3,0,10.3,10.3,,
1,Adult Day Services Center,Number,Kansas,Capacity,Total licensed maximum capacity or total number of beds,442.3,130.8,185.8,698.9,,1
1,Adult Day Services Center,Number,Kansas,Capacity,Average licensed maximum capacity or average number of beds,42.8,12.7,18,67.6,,1
